,parent_id,district,districtId,label,municipality,message_id,text,createdOn,predicted
106,23t26p,Sør-Øst Politidistrikt,204,4,Horten,23t26p-0,"Nødetatene har rykket ut til en trafikkulykke mellom mc og syklist - tre personer skal være involvert. Oppdateres.  MC fører har veltet og sklidd inn i syklisten og veltet. Veien er delvis sperret. En person blir sett til av ambulansepersonell. Politiet etterforsker hendelsen på stedet nå. En av syklistene, en lokal mann i 50-årene blir kjørt sykehus i ambulanse - ukjent skadegrad for politiet. MC fører - en lokal mann i 30-årene har fått status som mistenkt for hendelsen, blir avhørt nå. Vi har avsluttet på stedet. Førerkortet til mc fører ble ikke beslaglagt. Patruljen har opprettet sak.",2023-10-12T14:52:39.9022527+00:00,1
108,23nh68,Trøndelag Politidistrikt,209,12,Røyrvik,23nh68-0,"Familie har meldt bekymring rundt et familiemedlem i 80-årene som er på jakt i området mellom Namsvatnet og Rurukklumpen. Han er iført en knallrød skalljakke. Vi er på vei til området, og ønsker å bli kontaktet på 02800 dersom du har informasjon om vedkommende. Politiet har kommet i kontakt med mannen som er i god behold.",2023-09-13T06:17:42.9993387+00:00,7
119,2382mx,Sør-Øst Politidistrikt,204,3,Lier,2382mx-0,kl 07:25 - Politiet har vært på stedet og gjennomført åstedsundersøkelse etter melding om innbrudd og tyveri fra et båtopplag. Det skal ha blitt stjålet tre båtmotorer og en båt fra stedet. Politiet har avsluttet på stedet og oppretter sak ,2023-09-07T09:23:06.2153068+00:00,0
120,2306l0,Agder Politidistrikt,205,7,Lillesand,2306l0-0,"Kl 0045, melding om beruset mann som gikk inn på privat eiendom for å bade i en jacuzzi. Nektet å fjerne seg fra stedet når melder snakket til han. Patrulje har bortvist vedkommende fra Lillesand sentrum til klokken 0800. ",2023-08-12T23:42:42.9633755+00:00,5
125,230l03,Vest Politidistrikt,207,0,Bergen,230l03-0,"Politiet fått to meldingar om tjuveri frå to ulåste leilegheiter i #Strømgaten og #Hanstanksgate. Tjuveria har skjedd i løpet av natta til laurdag. Stole diverse personlege gjenstandar. Pr no ukjende gjerningspersonar.
",2023-08-05T08:31:36.078305+00:00,3
126,23vvtm,Sør-Øst Politidistrikt,204,1,Ringerike,23vvtm-0,"Politiet fikk melding om en underslått hjullaster. Ble funnet utenfor veien, om lag 5 meter ned et lite stup. En person mistenkt for underslaget og kjøring i påvirket tilstand. Nødvendige prøver tatt og gjerningspersonen pågrepet. Sak opprettes.",2023-07-27T00:55:37.0991836+00:00,7
127,23pxrk,Sør-Øst Politidistrikt,204,4,Jevnaker,23pxrk-0,"21:50 Nødetatene på stedet etter melding om ATV som har kjørt i grøfta. To personer involvert, følges opp av helsepersonell. Ukjent skadegrad. Politiet undersøker omstendighetene. Sak opprettes. Patruljen er ferdig på stedet. De involverte er avhørt og stedet er undersøkt. Vi kjenner ikke til skadeomfang på noen av personene - men det er to lokale gutter. Patruljen har opprettet sak.",2023-09-04T20:41:25.3423849+00:00,1
129,23v9tf,Trøndelag Politidistrikt,209,5,Trondheim,23v9tf-0,Politiet har kontroll på en mann som har stjålet øl på en butikk i sentrum. Mannen er noe ufin i sin oppførsel og vil bli innbrakt til arresten.,2023-07-26T11:45:52.2175905+00:00,3
130,23stgf,Vest Politidistrikt,207,6,Bergen,23stgf-0,"Kl 1340: Bergen legevakt, politiet har kontroll på en mann. Vært utagerende og kommet med verbale trusler mot personalet og vekter. Ingen er skadd. Mannen blir ivaretatt av helse. ",2023-09-11T11:59:03.5334605+00:00,5
135,23bgsq,Vest Politidistrikt,207,4,Austevoll,23bgsq-0,"Rabbholmen. Redningsaksjon. En bil har kjørt i sjøen, en person hentet ut. Pågår HLR. Ingen opplysninger om at det skal ha vært andre i bilen.  LAMB, brann, helse og politiet er på stedet.",2023-09-24T12:55:57.8002604+00:00,12
136,233jql,Øst Politidistrikt,202,4,Eidsvoll,233jql-0,"Vært en trafikkulykke i krysset. Nødetatene har vært på stedet. Involverte personer kjørt til lege for sjekk, ingen/ lettere skader. Opprettes sak.",2023-09-20T08:20:13.8839999+00:00,1
138,23lvhj,Sør-Øst Politidistrikt,204,1,Porsgrunn,23lvhj-0,"kl 00:53 - Politiet er på vei til stedet etter melding om trafikkulykke. Enslig MC skal ha veltet. Fører er oppegående. Oppdateres  Selve uhellet har skjedd ved Moheim, krysset Movegen/ Langangsvegen. Involverte, gutt i tenårene er kjørt legevakt av sine foresatte. Involvert kjøretøy er en lett MC. MC fører hadde kjørt til Jernbanegata etter å ha veltet ved Moheim, og deretter ringt nødetatene. MC fører får videre behandling ved sykehuset. Nødetater har avsluttet på stedet og politiet oppretter sak.",2023-07-09T22:57:58.1053977+00:00,4
139,236pjf,Trøndelag Politidistrikt,209,6,Levanger,236pjf-0,"Politiet har i dag jobbet med en voldshendelse i Levanger ved Stadionparken der en mann i 20-årene har blitt kontaktet av flere ungdommer i samme alder,  utsatt for vold og frastjålet et klesplagg.  Fornærmede ble ikke fysisk skadet. Partene har kjennskap til hverandre fra før. Politiet fant tyvgodset og har avhørt flere involverte, forholdet blir anmeldt.",2023-09-21T19:02:11.2961508+00:00,3
146,23tb3b,Sør-Øst Politidistrikt,204,3,Kragerø,23tb3b-0,kl 12:03 - Politiet har vært på en byggeplass etter melding om at det har vært innbrudd. Hendelsen har skjedd i løpet av natten og det er borttatt verktøy fra stedet. Politiet har gjennomført en åstedsundersøkelse og oppretter sak på forholdet. ,2023-07-18T11:43:20.438956+00:00,0
153,236rkc,Troms Politidistrikt,211,6,Tromsø,236rkc-0,"Kl 0140 ble en patrulje kontaktet av en voldsutsatt person. Gjerningspersonen hadde forlatt stedet, men noen hadde filmet hendelsen og personen ble gjenkjent som samme person som i en annen voldshendelse. Vedkommende ble lokalisert og anholdt av patr. Anmeldes. Han anmeldes også for forulemping av polititjenesteperson. Personen er mindreårig og ble brakt inn til politistasjonen hvor foresatte kunne hente ungdommen.",2023-08-26T03:55:30.4711718+00:00,5
157,23gzf2,Nordland Politidistrikt,210,5,Bodø,23gzf2-0,En person pågrepet ifm med trusler med kniv og brudd på besøksforbud. Gj. personen sprayet med pepperspray i det han ikke etterkom lovlig ordre fra politiet. Ingen andre personer skadet. Politiet oppretter sak. ,2023-08-08T01:12:03.9504973+00:00,6
160,23mvlt,Sør-Øst Politidistrikt,204,1,Tønsberg,23mvlt-0,kl 17:04 - FV308 - Politiet er på stedet etter melding om trafikkuhell mellom to kjøretøy i samme kjøreretning. Trafikken kan passere på stedet.  Involverte er sjekket ut av ambulanse. Det har vært lav hastighet og mindre materielle skader. Partene løser forholdet med skademelding. Nødetatene avslutter på stedet.,2023-07-06T15:14:32.3559852+00:00,4
161,23bm9g,Vest Politidistrikt,207,4,Bremanger,23bm9g-0,Lastebil har kjørt utfor vei. Ligger på siden. Ingen personskade. Nødetatene på vei. Brannvesenet er på staden. Meldt om lekkasje frå lastebilen.,2023-09-27T03:52:35.1252655+00:00,1
165,23czlr,Vest Politidistrikt,207,4,Kinn,23czlr-0,KL. 1357: Mann i 70-årene falt i lav høyde og fått skadet en hofte. Var på tur alene når dette skjedde. HRS sendt redningshelikopter fra Florø. Helikopter har lokalisert vedkommende og er i ferd med å få han hentet ut fra turområde. ,2023-07-24T12:36:22.0964402+00:00,12
179,23gtrr,Øst Politidistrikt,202,5,Nordre Follo,23gtrr-0,Flere politipatruljer i Ski sentrum etter melding om slagsmål. Vi har nå kontroll på noen av de involverte. En person skal være påført skader med en kniv. Ikke alvorlig skadd. Oppdateres. Kontroll på fornærmede og begge de mistenkte. Også gjort funn av kniv som har blitt benyttet. Fornærmede påført mindre skader i en hånd.,2023-09-28T17:33:17.3140799+00:00,6
182,23qbnd,Sør-Øst Politidistrikt,204,11,Færder,23qbnd-0,kl 00:39 - Politibåten kontrollerte en fritidsbåt ført av en gutt i tenårene. Gutten mistenkes for kjøring i alkoholpåvirket tilstand. Han ble fremstilt for prøvetaking og foresatte varslet. Gutten blir anmeldt for forholdet. ,2023-07-26T00:10:42.8546418+00:00,7
184,23jght,Sør-Øst Politidistrikt,204,4,Sandefjord,23jght-0,"Nødetatene rykker ut etter melding om trafikkulykke. En bil skal ha kjørt på en person på sparkesykkel.   Fører av sparkesykkel, mann, blir undersøkt i ambulansen. Ulykken har skjedd ved at EL sparkesykkel har kjørt i siden på en bil. Det er fotgjengerfelt der kollisjonen skjedde. Det er små skader på kjøretøyene. EL sparkesyklisten, gutt 13 år, ble kjørt til sykehuset for undersøkelser og behandling. 

Politiet oppretter sak.",2023-10-19T14:42:25.375528+00:00,1
188,23v974,Øst Politidistrikt,202,4,Ullensaker,23v974-0,Nødetatene rykker ut etter melding om trafikkulykke. 2 biler involvert. ,2023-10-11T12:19:25.354967+00:00,1
198,23qmj3,Sør-Øst Politidistrikt,204,1,Larvik,23qmj3-0,"Kl. 10:40 - Melding om påkjørsel av fotgjenger på stedet. Per nå ukjent skadestatus. Politiet er på stedet. Oppdateres. Rettelse: Skal ikke være sammenstøt, men en person som har falt. Nødetatene avbryter. Fotgjengeren tar seg selv til legevakt. Ingen sak.",2023-09-04T08:42:39.9259213+00:00,4
218,233ckm,Øst Politidistrikt,202,4,Indre Østfold,233ckm-0,"Nødetatene har rykket ut til trafikkulykke langs Askimveien mellom Slitu og Mysen. En bil har kjørt av veien. Ukjent skadeomfang. Oppdateres. En bil med til sammen to personer involvert i uhellet. Ingen personskade, men noe materielle skader på bil og autovern.",2023-09-21T18:16:53.1757285+00:00,1
219,230dk6,Møre og Romsdal Politidistrikt,208,4,Ålesund,230dk6-0,"Melding kl 1630  om 2 personer som hadde problemer i en båt på Akslevoll vannet. Det var usikkert om personene var i nød, men nødetatene rykket ut, koordinert av HRS. Vi har vært på stedet, ingen er alvorlig skadd. 
 Hendelsesforløp: de 2 dro garn da båten ble tatt av strømmen. Ene personen falt og slo hodet da han forsøkte å dra båten mot land. Blir kjørt Ålesund sykehus for en sjekk. Nødetatene ferdig på stedet.",2023-10-05T15:59:38.4788676+00:00,12
221,23q3km,Sør-Øst Politidistrikt,204,3,Krødsherad,23q3km-0,kl 14:25 - Politiet har vært ved en byggeplass og gjennomført en åstedsundersøkelse etter melding om innbrudd og tyveri på stedet. Det er skadet en port til et garasjeanlegg og bortatt byggevarer fra stedet. Politiet har avsluttet på stedet ,2023-07-06T16:26:23.4797194+00:00,0
228,23lz6c,Sør-Øst Politidistrikt,204,4,Holmestrand,23lz6c-0,Nødetatene rykker ut til trafikkulykke. 2 personbiler involvert. Oppdateres. Politiet er på stedet. Bilene har frontkollidert. Det er 2 personer involvert. Veien er stengt på stedet. Politiet har avsluttet på stedet. Bilene er berget og veien åpen. Begge førerne er kjørt sykehus. Politiet oppetter sak.,2023-08-17T06:11:10.523114+00:00,1
233,233b2x,Vest Politidistrikt,207,7,Bergen,233b2x-0,"kl. 1628: Fått melding fra Samvirkesenteret til Bergen kommune om steinras som hadde truffet ett hus. Ikke meldt om personskade. Vi har vært på stedet sammen med geolog. Området vurdert som trygt, ikke behov for evakuering. Videre oppfølging ved huseier. ",2023-10-12T16:54:11.8885151+00:00,1
234,23kbd4,Trøndelag Politidistrikt,209,5,Trondheim,23kbd4-0,"Beruset dame har trykket på alt av ringeklokker og vekket opp en hel leilighetsblokk på Kolstad, noe som ikke var så populært blant beboerne.  Patruljen har fjernet dama fra stedet.  ",2023-08-11T00:25:22.5143549+00:00,7
238,2398qv,Vest Politidistrikt,207,7,Kinn,2398qv-0,"Meld om ras, truleg over vei ved FV5697, ved Rabbane. Er lite trafikert veg.

Meldinga observert frå avstand, fra RV 5, Florøvegen. . Politiet på veg til staden, forsøker å komme i kontakt med nokon frå lokalbefolkninga.
",2023-08-10T11:34:36.3809921+00:00,1
251,23fcdq,Innlandet Politidistrikt,203,7,Innlandet politidistrikt,23fcdq-0,TEST MELDING - INGEN RESPONS - TEST MELDING.,2023-08-25T09:25:54.8156322+00:00,1
252,23pkwb,Trøndelag Politidistrikt,209,4,Trondheim,23pkwb-0,"Ung dame på 18 år som er kraftig beruset. Har falt og slått hodet mot en benk ved busstoppen ved Nidarosdomen. Bevisst, men blør kraftig fra hodet. Politi på stedet. Blir fraktet i ambulanse til SOH.",2023-07-11T22:26:24.3277348+00:00,5
256,23bn3b,Agder Politidistrikt,205,6,Grimstad,23bn3b-0,"Melding om kvinne som roper om hjelp ved Oddensenteret. Politiet har vært i kontakt med en kvinne og en mann på stedet, mannen anmeldes for kroppskrenkelse. ",2023-10-03T23:24:47.5545779+00:00,5
258,23ptgn,Sør-Øst Politidistrikt,204,12,Nesbyen,23ptgn-0,Ved 1700 tiden ble et kjøretøy med to personer i tatt av vannmengdene etter å ha blitt skylt av veien. En gårdbruker med traktor kom til unnsetning og reddet begge personene i land - uskadde !,2023-08-08T16:43:32.5786746+00:00,1
260,23vb2m,Agder Politidistrikt,205,10,Vegårshei,23vb2m-0,"Kl 0010. Elg påkjørt av toget ved Ormshammer - løp videre, men er åpenbart skadd. Viltnemd kontaktet som håndterer dette videre. ",2023-08-29T22:15:15.7125372+00:00,7
261,23745q,Sør-Øst Politidistrikt,204,11,Sandefjord,23745q-0,"11:30 Nødetater er på vei til Vesterøya. En båt har kantret ca 300 m ute i fjorden. Det var en person i båten. Personen ligger nå i vannet og holder seg fast i båten. Redningsskøyte og redningshelikopter er også på vei. Oppdateres. En kajakkpadler har tak i båten og drar den mot Storholmen. Personen i vannet henger på. Brannvesenet har dykkere i vannet mot stedet. Redningshelikopter er over stedet nå. Redningshelikopteret har hentet opp personen, en mann, og  han bekrefter at han var alene i båten. Mannen i 50 årene, har blitt fraktet til sykehuset med ambulanse. Pr. nå er det ukjent om han er skadet. Båten hans er fortøyd. Politiet har snakket med mannen. Han har fortalt at han var ute for å sette teiner da båten hans ble tatt av et vindkast og kantret. Han var noe nedkjølt da han ble hentet opp av vannet, men er i fin form nå. Han er veldig glad for hjelpen han har fått. Vi takker spesielt kajakkpadleren.",2023-09-28T09:39:24.1694776+00:00,12
275,23pr7d,Trøndelag Politidistrikt,209,7,Verdal,23pr7d-0,Ved Bjørkberga på Jamtlandsvegen i Verdal har det gått et steinras fra fjellsida.  Veien blir stengt inntil veien blir ryddet samt  vurderinger gjort på om det er fare for flere ras. VTS sender entreprenør til stedet. Politiet er også på vei.  Vegen forblir sperret inntil videre. Det er ikke fare for bebyggelse og det er ikke behov for noe evakuering.,2023-10-10T07:24:08.7847242+00:00,1
278,231g67,Trøndelag Politidistrikt,209,4,Stjørdal,231g67-0,En bil har kjørt inn en betongvegg. Fører av bilen er opp og går. Politiet er på vei   til stedet.  Fører av bilen er uskadet. Det er ikke mistanke om ruskjøring. Bilen er ikke kjørbar.,2023-08-08T22:38:35.4379184+00:00,1
284,23nwxj,Innlandet Politidistrikt,203,4,Gjøvik,23nwxj-0,Kl. 14:59: Melding om mc-fører som har kollidert med bil. Ulykken fremstår ikke alvorlig. Mindre sammenstøt. Fører av mc er tilsett av helsevesenet. Politi og ambulanse har vært på stedet og pratet med partene. Vegen er nå åpen.  Fører av personbil uskadd. ,2023-08-30T13:38:27.0698004+00:00,1
288,234m26,Troms Politidistrikt,211,1,Tromsø,234m26-0,"Melding om en person skal ha blitt skadet på eller ved en buss i bevegelse. Ambulanse og politiet til stedet, og det viste seg å være et forhold som skjedde inne på bussen etter avgang fra bussholdeplass. ",2023-10-10T10:37:35.0935081+00:00,7
300,2388l2,Trøndelag Politidistrikt,209,7,Trondheim,2388l2-0,"Meldt om en gjeng gutter med uforsiktig bruk av en lighter litt vel nærme en barnehage i Brundalen.  Patrulje har lett i området, uten å se noe til guttene. Melding til obs for foreldre med barn i området.",2023-10-21T15:16:08.8326002+00:00,5
302,23rxmg,Innlandet Politidistrikt,203,7,Nord-Aurdal,23rxmg-0,"kl. 19:46: politiet til restaurant i Fagernes sentrum som følge av melding om beruset og utagerende person på stedet. Vitner meldte også om våpendeler som stakk ut fra en sekk som vedkommende bar på. Politiet med kontroll på aktuell person kl. 19:56.  Under ransaking ble det funnet en hagle i tre deler, samt en kniv. Personen kjørt Fagernes politistasjon for avhør, samt fremstilt helse for kontroll. Sak opprettet.",2023-10-06T18:58:39.0579025+00:00,5
303,23dr72,Agder Politidistrikt,205,4,Kristiansand,23dr72-0,Melding om trafikkulykke i Leireveien. Buss skal ha truffet syklist. Syklist fremstår ikke alvorlig skadd. Politi og ambulanse er på vei til stedet. Skal være en del skader på sykkel. Oppdateres. Trafikken går fint på stedet.,2023-09-06T12:54:20.1103038+00:00,1
307,23hpjg,Møre og Romsdal Politidistrikt,208,1,Vestnes,23hpjg-0,"Kl. 01:34 kom det inn melding om en ponni som gikk midt i vegbana på fylkesvegen. Eier kontaktet via naboer, og ponnien er nå trygt tilbake der den hører hjemme.",2023-09-01T00:24:04.7327274+00:00,7
309,235zzp,Møre og Romsdal Politidistrikt,208,7,Sunndal,235zzp-0,Tyveri av bobil med reg. nr. SD 34541 merke Burstner 684 Aviano stjålet i løpet av natta. Tips kan gis til Politiet på tlf. 02800. Bilen er funnet i Eidsvåg. Politiet er på stedet og undersøker bilen med tanke på sporsikring og vitneobservasjoner. En person er siktet for tyveriet av bilen og vedkommende har erkjent dette.,2023-08-04T11:38:27.056377+00:00,3
321,23gftq,Sør-Øst Politidistrikt,204,1,Tønsberg,23gftq-0,Patruljen stanset en lokal kjenning i 30-årene på en stjålet moped. Erkjenner tyveriet - fremstår også som ruset. Har heller ikke førerkort. Blir tatt med inn for bevissikring og saker opprettet. ,2023-07-29T17:55:01.9552642+00:00,3
349,23zwgq,Trøndelag Politidistrikt,209,6,Trondheim,23zwgq-0,"Vi er på en privat adresse på Møllenberg i forbindelse med at det har vært slåssing på stedet. Slåssing mellom to personer, en har fått noen kutt i hodet, men er ikke alvorlig skadet.  En person ble kjørt til SOH med ambulanse. En tredje person forsøkte å blande seg inn i politiets arbeid og var ufin. Ble derfor innbrakt sammen med en mistenkt. Alle involverte er menn i 20-åra.",2023-10-17T04:04:32.7743602+00:00,4
361,23ctfn,Agder Politidistrikt,205,3,Arendal,23ctfn-0,Vi foretar åstedsundersøkelse etter melding om grovt tyveri fra bedrift. Uklart hva som er stjålet.,2023-10-06T07:34:59.9615681+00:00,0
364,232czs,Sør-Øst Politidistrikt,204,1,Nome,232czs-0,"05:35 Nødetater rykker ut til trafikkulykke. To biler involvert i en front mot front ulykke. En person i hver bil, begge ute av bilene og fremstår ikke alvorlig skadet.  Trafikken er stengt i begge retninger. Fører i begge kjøretøyene blir kjørt sykehuset for sjekk. Det ene kjøretøyet har kommet over i motgående kjørefelt. Førerkortet hans er besluttet beslaglagt. 
Det er rekvirert berging til begge kjøretøyene. Trafikken blir dirigert forbi stedet til berging  kommer. Bilen er berget og vi er ferdige på stedet.",2023-06-16T03:48:03.2194848+00:00,4
369,2369pp,Agder Politidistrikt,205,7,Arendal,2369pp-0,Mann anmeldes for å ha flydd drone innenfor flyrestriksjonsområdet i Arendal sentrum. Drone blir beslaglagt. Sak opprettes.,2023-08-14T14:24:18.129003+00:00,5
375,23qpvt,Vest Politidistrikt,207,1,Aurland,23qpvt-0,"Kl. 18:55 Buss i full fyr i Nærøydalen.  Meld om mykje flammar og svart røyk. Skal være ein turistbuss. Ikkje meld om personar i bussen, som står på ein rasteplass. Samtlege naudetatar er på veg til staden.  Kl. 19:53 Det er ikkje meld om personskadar i samband med bussbrannen. Det har brent noe i vegetasjonen på rasteplassen der bussen står. Bussen er utbrent. Kl.20:30 - Ny buss henter sjåfør og passasjerar. Ingen er skadde i samband med brannen. Politiet gjer undersøkingar på staden.",2023-08-13T17:10:09.246367+00:00,2
380,23rj9x,Øst Politidistrikt,202,4,Fredrikstad,23rj9x-0,Mann som har falt på sparkesykkel og fremstår noe skadd. Mannen er trolig også beruset. Ambulanse og patrulje på vei.  Sikret blodprøve og mann i 50 årene blir anmeldt for kjøring i påvirket. Ikke førerkortbeslag pr nå.,2023-09-17T17:10:27.4685214+00:00,1
