,Unnamed: 0,parent_id,district,districtId,label,municipality,message_id,text,createdOn,updatedOn
55,13670,23rbzr,Agder Politidistrikt,205,4,Arendal,23rbzr-0,"kl . e vestgå på ved longum har det vært en bilstans, mul sykdomstilfelle. fremstår som det er noe nedsatt fremkomm nå. nødetat på vei. oppdateres.",2023-07-23 18:28:33.532956+00:00,
58,16058,231nf3,Sør-Øst Politidistrikt,204,1,Tønsberg,231nf3-0,": melding om en person som drev å tagg på en container. gikk fra sted og tagg igj på en reklameplakat. politi har påtruff kar som hadd tagget, en år gammel gutt. han hadd fler tusj med seg. sak opprett og tusj beslaglagt.",2023-06-29 07:12:03.393369+00:00,
66,5668,23n2d2,Sør-Øst Politidistrikt,204,0,Skien,23n2d2-0,kl : melding om mann som brøyt opp brusautomat ved herkules. vi har vært på stedet. brusautomat er ødelagt. vi har søkt i områd med fler patrulj uten å finn mistenkte. sak opprettet.,2023-09-17 20:15:36.210029100+00:00,
69,4386,2374tn,Øst Politidistrikt,202,1,Halden,2374tn-0,denn melding har blitt trukket.,2023-09-26 15:25:12.444138400+00:00,
73,16475,239qsv,Sør-Øst Politidistrikt,204,0,Notodden,239qsv-0,en mann i åren blir anmeld og bortvist fra butikk ett å ha stjål en kniv fra lokalene.,2023-06-20 10:41:05.292864600+00:00,
77,11260,23b4d5,Møre og Romsdal Politidistrikt,208,6,Molde,23b4d5-0,en person anmeld for skadeverk ved å ha knust et vindu i en dør tilhør en bedrift. innbruddsalarm utløst. brannvesen rykk ut og påtraff vedkommende. politi til stedet. person hadd vært inn i bygget. han var rus og blødd fra fingrene. kjørt legevakten.,2023-08-12 01:44:31.641678900+00:00,
78,2982,23jv40,Trøndelag Politidistrikt,209,6,Trondheim,23jv40-0,"melding om innbruddsalarm fra hovedbiblioteket. vekt og politi på stedet. ei rut inn til kafe er knust. tyd at det har vært folk inne, men forlatt. ing pågrepet.",2023-10-06 03:06:52.840533500+00:00,
79,4592,23ld5q,Agder Politidistrikt,205,4,Kristiansand,23ld5q-0,politi er på sted ett melding om en bil som skal ha kjørt inn i en garasj ett først å ha truff en lyktestolpe. oppdateres.,2023-09-24 23:29:37.648009600+00:00,
89,8030,23qbg2,Trøndelag Politidistrikt,209,12,Stjørdal,23qbg2-0,slåsskamp shell stjørdal. gjerningsperson har dratt fra sted før politi kom til stedet. fornærm har fått kul i hodet. oppdatering kommer.,2023-09-03 00:31:28.428634700+00:00,
91,17126,23n698,Sør-Øst Politidistrikt,204,4,Tønsberg,23n698-0,nødetat rykk ut til melding om trafikkulykke. et kjøretøy som skal kjørt inn i et tre og land på taket. fler person involvert. skal ikk fremstå som alvor skadet. oppdateres.,2023-06-06 04:29:56.514249500+00:00,
95,3186,23m4f5,Sør-Øst Politidistrikt,204,6,Tønsberg,23m4f5-0,: melding om en stjål sykkel til verdi rund .kr. nabo hadd sett tyv og bidro med beskrivelse. tyv hadd satt igj en gammel sykkel da han tok den nye. patrulj forsto hvem dett var og oppsøkt mannen.,2023-10-04 18:24:21.697896600+00:00,
113,8357,23mwm5,Agder Politidistrikt,205,12,Arendal,23mwm5-0,politi er i kontakt med person som har satt fyr på gjenstand som medført mindr materiell skader. person satt seg opp mot politi på sted og anmeld for vold mot offent tjenestemann. person er pågrep og kjør til arresten. opprett sak.,2023-08-31 22:06:42.467144400+00:00,
115,16522,23z006,Sør-Øst Politidistrikt,204,5,Drammen,23z006-0,kl : - e nordgå kjøreretning. politi er på sted ett melding om trafikkuhell mellom to vogntog. kun materiell skader. et kjørefelt sperret. hend er rett før avkjøring .,2023-06-19 14:53:29.398929900+00:00,
122,5105,23bfcn,Øst Politidistrikt,202,5,Fredrikstad,23bfcn-0,"rv rolvsøyveien/dikevei , melding om singelulykk - personbil kjørt ut av veien og inn på en gårdsplass. det er person i bilen, fremstår uskadd. stor materiell skad på bilen. nødetat er på stedet.",2023-09-21 22:40:29.381159100+00:00,
123,12870,23st6z,Øst Politidistrikt,202,6,Nordre Follo,23st6z-0,innbrudd/skadeverk på fler bil ved jan baalsrud plass. skjedd i løp av natten.,2023-07-30 10:29:32.472859100+00:00,
126,17064,23p7zp,Sør-Øst Politidistrikt,204,4,Lier,23p7zp-0,nødetat rykk ut til en trafikkulykk på ringeriksvei ved skonarudkleiv mellom to kjøretøyer. oppdateres.,2023-06-07 13:57:12.111762900+00:00,
130,13457,23pts0,Øst Politidistrikt,202,4,Sarpsborg,23pts0-0,kl. nødetat mott melding om alvor trafikkulykk på e. e sydgå ved skjeberg er sperr og vil bli stengt en stund framover. vi forsøk å oppdater her underveis.,2023-07-25 17:22:04.751084300+00:00,
140,12191,23bvzb,Agder Politidistrikt,205,7,Kristiansand,23bvzb-0,nødetat samt redningsskøyte/bannbåt er på vei ett melding om en person som skal ha falt ut av en kajakk og ligg i vannet. vedkomm har redningsvest. hrs koordinerer.,2023-08-05 14:14:11.503560200+00:00,
147,15739,23gsd6,Sør-Øst Politidistrikt,204,1,Drammen,23gsd6-0,kl : - politi observer en mann som forsøkt å overlever narkotika. mann i åren var i besitt av narkotik og blir anmeld for forholdet.,2023-07-06 20:03:42.790062+00:00,
153,4902,23nk2x,Trøndelag Politidistrikt,209,9,Steinkjer,23nk2x-0,"fått melding om to hunder, trol jamthunder, som spring på e og på gangveg ved mæresmyra.",2023-09-23 10:15:34.696236400+00:00,
154,4956,23mf2z,Agder Politidistrikt,205,12,Arendal,23mf2z-0,politi har vært på en privatadress ett melding om en voldshendelse. en kvinn i åren og en mann i åren har vært involver i dette. det opprett en sak på forhold og mann part blir bortvist fra adressen. ing var alvor skadet.,2023-09-23 00:27:53.653897700+00:00,
155,11443,23flkz,Agder Politidistrikt,205,0,Kristiansand,23flkz-0,mann pågrep ett å ha tatt seg inn i en bil og forsøkt å komm seg inn i andr biler. uavklart om noe er stjålet. sak opprettes.,2023-08-10 19:30:07.212525100+00:00,
158,10347,23kzz0,Sør-Øst Politidistrikt,204,4,Tønsberg,23kzz0-0,": - politi rykk ut ett melding om en trafikkulykk på semslinna. trafikk står still på stedet, og det anbefal å finn en ann kjørevei hvis mulig.",2023-08-18 14:56:25.794558600+00:00,
160,15720,23h68m,Vest Politidistrikt,207,1,Årdal,23h68m-0,mørkledd mann går retning årdalstangen. han har ikk refleks og er lit syn for andr trafikanter. kjør forsikt og vær oppmerksom på mann ! politi er på vei.,2023-07-07 09:51:17.282506300+00:00,
168,11811,23lzqv,Sør-Øst Politidistrikt,204,1,Hol,23lzqv-0,nødetat rykk ut ett melding om jordr på stedet. det er uvisst hvor stort ras er. melding oppdateres.,2023-08-08 09:43:16.319182300+00:00,
178,8829,230ddg,Sør-Øst Politidistrikt,204,1,Drammen,230ddg-0,"politi har - i samarbeid med bilfirma, funn den stjåln bil fra i morges. vi foret undersøk av denn - og jobb med denn oppimot all forhold vi har jobb med på gulskog sid i morges.",2023-08-28 11:49:07.892559600+00:00,
192,11060,23943v,Trøndelag Politidistrikt,209,4,Grong,23943v-0,melding om trafikkulykk på e i grong. bil involvert. til samm person som ett sig skal vær ute av bilene. nødetat på tur til stedet.,2023-08-13 12:11:23.535703900+00:00,
201,7172,23w3ch,Øst Politidistrikt,202,4,Øst politidistrikt,23w3ch-0,melding om trafikkulykk fylkesvei mogreina. mc før har truff en elg. all nødetat og viltnemnd er på vei.,2023-09-08 19:29:35.909539500+00:00,
204,12325,23bkw9,Sør-Øst Politidistrikt,204,4,Hol,23bkw9-0,"politi er på vei til sted ett melding om utforkjøring. en personbil har kjørt ut av vegen. en person involvert, fremstår ikk som alvor skadet. oppdatteres.",2023-08-04 13:04:05.664985+00:00,
206,8808,23bn8n,Sør-Øst Politidistrikt,204,5,Bamble,23bn8n-0,"kl : - fv - politi og ambulans har rykk ut til sted ett melding om en trafikkulykke. en mc har kjørt av veien i forbind med unnamanøver. mc fører, mann i åren er oppegående, men kjør til sykehus for ytterliger undersøkelser.",2023-08-28 14:48:52.940193700+00:00,
217,12045,23r22c,Møre og Romsdal Politidistrikt,208,1,Møre og Romsdal politidistrikt,23r22c-0,"ei forholdsvis rol natt i distriktet. en mann pågrep i ålesund for brudd på ett besøksforbud. ell har det vært noen få ordensforstyrr i molde, kristiansund , volda, ørst og ålesund.",2023-08-06 04:36:33.477687100+00:00,
223,10880,23bf5w,Vest Politidistrikt,207,1,Alver,23bf5w-0,politi har kontroll på person på broen. blir overtatt av helse. veien åpen for fri ferdsel.,2023-08-14 17:57:02.413185800+00:00,
240,5033,23ppw8,Innlandet Politidistrikt,203,5,Tynset,23ppw8-0,"kl. : ulykk ved tyns sentrum. et godstog har kjørt på en personbil ved overgang i tjønnbakken. skal ha vært person i bilen. ukjent skadegrad på diss pr. nå, men meld å vær bevisst og oppegående. nødetat er på stedet.",2023-09-22 16:51:39.758135900+00:00,
244,1187,23s7j3,Agder Politidistrikt,205,1,Froland,23s7j3-0,kl - en person er pågrep ett å ha brutt besøks -/ kontaktforbud som ble ilagt mandag . oktober. person er innsatt i arrest i arendal.,2023-10-17 00:36:20.377813900+00:00,
249,4069,23mvzb,Vest Politidistrikt,207,5,Bergen,23mvzb-0,trafikkuhell der to bil er involvert. ing personskade. et kjørefelt er stengt. bilberg til to bil er på vei. en del materiell skader. politi er på stedet.,2023-09-28 14:57:59.315655300+00:00,
254,13858,235x12,Nordland Politidistrikt,210,9,Vestvågøy,235x12-0,to sauer har falt ned i en septiktank. brann og politi til stedet. brannmannskap har fått sauen ut av tanken. politi har vært i kontakt med eier av tank og pålagt han å sikr denne.,2023-07-22 18:00:31.318526500+00:00,
260,10995,23zrtw,Sør-Øst Politidistrikt,204,7,Porsgrunn,23zrtw-0,nødetat er i porsgrunn ett melding om person som har falt i vann i porsgrunnselva. oppdateres.,2023-08-13 21:40:34.156132500+00:00,
262,15596,235qpg,Vest Politidistrikt,207,0,Bergen,235qpg-0,"kl , tesl model s stjål fra p-plass. nøkl stod i tenningslåsen. bilei fikk spor bilen. kl stans politi bil på korskirkeallmeningen. fører, mann i -år pågrep av patruljen. anm for bilbrukstyveri, kjøring i påvirk tilstand mm.",2023-07-08 11:26:54.230333900+00:00,
273,626,23kskv,Agder Politidistrikt,205,1,Kristiansand,23kskv-0,fler melding til politi om at del av taket/solcellepanel har blåst ned fra rådhusgat - handel hus. politi og brannves er på veg.,2023-10-20 14:37:47.484237600+00:00,
275,13532,23vc5k,Trøndelag Politidistrikt,209,1,Trondheim,23vc5k-0,"kl :; politi har vært på sted ett melding om tyveri fra motorsykkel. eier ved motorsykkel, ikk tyveri. funn av narkotika. skilt på motorsykkel beslaglagt. eier av motorsykkel kjør til arresten.",2023-07-25 08:02:02.988713100+00:00,
281,2325,233lft,Nordland Politidistrikt,210,6,Lødingen,233lft-0,"melding om en innbruddsalarm fra et apotek. vindu inn til apotek var knust og en person observer inn i apoteket. politi rykk ut fra sortland fikk kontroll på personen, som fortsatt var i apotek da patrulj ankom.",2023-10-10 01:08:25.284241400+00:00,
286,7050,23pbmj,Agder Politidistrikt,205,12,Kristiansand,23pbmj-0,kl . politi har rykk ut til privat adress i vågsbygd. en person har blitt fraran sin vesk med innhold. ing er fysisk skadd. politi er på sted og gjennomfør avhør og sikr spor samtid som det søk ett gjerningspersonen.,2023-09-09 12:20:41.615601200+00:00,
287,1007,23ghkb,Nordland Politidistrikt,210,5,Rana,23ghkb-0,trafikkuhell mellom personbil og person på el-sparkesykkel. sistnevnt er våken. nødetat på tur til stedet. oppdateres.,2023-10-18 12:29:59.749017200+00:00,
289,3324,23hp8z,Sør-Øst Politidistrikt,204,0,Sør-Øst politidistrikt,23hp8z-0,kl. - melding om to bil som har kjørt i hverandr i en rundkjøring i sentrum. per nå ikk meld om personskade. politi er på sted og i kontakt med partene.,2023-10-03 18:30:38.748847900+00:00,
292,5345,23kzp1,Agder Politidistrikt,205,4,Flekkefjord,23kzp1-0,"kollisjon på e trøngsla. bil involvert. ing fastklemte, all er ute av bil og oppegå . trafikk kan passer i ett felt. nødetat rykk og er straks på stedet. oppdateres.",2023-09-20 08:41:39.722166100+00:00,
298,13078,23gqhp,Vest Politidistrikt,207,1,Voss,23gqhp-0,kl. : - melding om knivstukk person i voss sentrum. tilfeld forbipasser kom over ein mann med knivskad i magen. politi rykk ut med fleir patrulj og gjer no undersøking på staden. ing er pågrep for ugjerninga.,2023-07-28 22:03:45.213779500+00:00,
300,12959,230v9x,Øst Politidistrikt,202,5,Moss,230v9x-0,"nødetat er på sted i forbind med en bilbrann på e, nord for mosseporten, nordgå løp. mye kø på stedet. brann er slukket, bilberg er på vei.",2023-07-29 16:13:07.819904600+00:00,
305,3928,23wh4s,Sør-Øst Politidistrikt,204,5,Flå,23wh4s-0,": nødetat på vei ett melding om utforkjøring, én bil involvert. skjedd lik vest for flå sentrum. trol ikk personskade. bil er ute av veien.",2023-09-29 14:29:01.881098600+00:00,
309,11590,23xlkp,Sør-Øst Politidistrikt,204,5,Sandefjord,23xlkp-0,politi rykk ut til trafikkulykk i lingelemveien. mc velt med person involvert. oppdateres.,2023-08-09 18:33:11.952664800+00:00,
313,1958,23cp79,Innlandet Politidistrikt,203,4,Sel,23cp79-0,trafikkulykk på baksid ved sjoa. personbil har kjørt i grøft og inn i et tre. nødetat er på stedet. ukjent skadeomfang ift personskade. oppdater ved ny info.,2023-10-12 14:30:52.163681700+00:00,
316,14790,232vcg,Vest Politidistrikt,207,1,Gloppen,232vcg-0,kl mann () innsett i drukkenskapsarrest ett å ha slått til andr og vor utagger på festival. ing alvor skadar. politi opprett sak.,2023-07-15 05:49:25.561905800+00:00,
318,5883,23zgvv,Trøndelag Politidistrikt,209,0,Trondheim,23zgvv-0,"vekt på city lad fikk kontroll på en tyv. ved kontroll ble det funn en softgun på vedkommende. politi har nå overtatt mannen. han anmeld for våpenloven, tyveri fra butikk samt besitt av noe narkotika.",2023-09-16 18:49:32.790513300+00:00,
319,4552,2395rd,Agder Politidistrikt,205,1,Risør,2395rd-0,"kl. , et tre har falt over en strømledning ved risørveien. dersom ledning ryk fall treet på veien. vts er varslet.",2023-09-25 11:27:59.760640500+00:00,
321,13073,23x3g2,Nordland Politidistrikt,210,10,Bodø,23x3g2-0,"oppsummer opptur: mye folk, god stemning, god kontroll. person bortvist fra stedet. tre av diss hadd mindr mengd narkotik på seg ved innpassering, to bortvist grunn ordensforstyrrelser.",2023-07-28 22:44:09.206315800+00:00,
322,1326,23gq68,Sør-Øst Politidistrikt,204,5,Øvre Eiker,23gq68-0,kl : - e - nødetat er på sted i forbind med en trafikkulykke. ens personbil har kjørt ut av veien. bil forsøkt i forkant av uhell å unndr seg kontroll fra politiet. person involvert. de kjør akuttmottak for undersøkelse.,2023-10-16 00:16:10.367309300+00:00,
329,2388,23ctpl,Agder Politidistrikt,205,8,Kristiansand,23ctpl-0,dei fir sjuåring som har vor sakn frå wild minn skul er nå komm til rette.,2023-10-09 14:08:22.265433800+00:00,
331,14463,23mlnq,Sør-Øst Politidistrikt,204,5,Larvik,23mlnq-0,: nødetat rykk ut til trafikkulykke. en bil har kjørt av veien. to person i bil som begg er oppegående.,2023-07-17 13:09:31.618116200+00:00,
347,766,23hldd,Sør-Øst Politidistrikt,204,12,Rollag,23hldd-0,kl: : mann i åren ble pågrep sikt for vold i nær relasjoner. mann er transporter til arrest og politi i sør-øst har start etterforskning.,2023-10-19 16:01:32.912837200+00:00,
348,4453,23dm76,Vest Politidistrikt,207,1,Øygarden,23dm76-0,politi fikk tip om eldr granat som er funn i terreng på ågotnes. politi er på stedet. granat er vurder som ufar slik den ligger. politi vil vær på sted fram til forsvar hent granaten.,2023-09-26 08:52:01.077209100+00:00,
353,10834,23bxpc,Sør-Øst Politidistrikt,204,1,Larvik,23bxpc-0,kl: : tollvesen stans en lastebil og en personbil og det var mistank om bruk av narkotika. det ble tatt blodprøv av lastebilsjåføren. to andr menn var i besitt av mindr mengd marihuana. all ble bøtelagt.,2023-08-15 05:02:32.647926500+00:00,
358,842,235tr5,Agder Politidistrikt,205,4,Agder politidistrikt,235tr5-0,"politi oppfordr bilist til å ha ekstr oppmerksom utov dagen. det begynn og komm melding om trær som fall over vei, og dett kan komm brått på. avpass farten, spesielt på mindr og uoversikt strekninger.",2023-10-19 10:12:05.886344400+00:00,
366,1911,23fk3k,Øst Politidistrikt,202,0,Indre Østfold,23fk3k-0,up har hold hastighetskontroll. fører ble anmeld for hastighetsovertred og fikk førerkort beslaglagt. høyest hast var km/h i -sone.,2023-10-12 19:25:16.827842600+00:00,
369,9147,23h2b5,Trøndelag Politidistrikt,209,4,Stjørdal,23h2b5-0,"på grunn av stort tils av publikum ifm agrisjå på frigård er det nå kø derfr og ut på e, helt ned til stjørdal sentrum. publikum oppfordr til å parker på innfartsparkering og ta shuttlebuss til frigården. se oversikt på agrisjå sin nettsider.",2023-08-26 09:40:40.187958900+00:00,
372,12215,230l03,Vest Politidistrikt,207,6,Bergen,230l03-0,politi fått to melding om tjuveri frå to ulåst leilegheit i #strømgat og #hanstanksgate. tjuveri har skjedd i løp av natt til laurdag. stol divers person gjenstandar. pr no ukj gjerningspersonar.,2023-08-05 08:31:36.078305+00:00,
375,14748,23n51g,Sør-Øst Politidistrikt,204,4,Drammen,23n51g-0,nødetat rykk ut ett melding om trafikkulykk i horgenveien. melding oppdateres.,2023-07-15 12:12:40.387956400+00:00,
378,12203,2356rn,Øst Politidistrikt,202,8,Fredrikstad,2356rn-0,mld om en savn år gammel gutt fra visp badeplass. beskrivelse: har på seg en ros t-skjorte. nødetat er på vei samt redningshelikopt og dykker da det er uvisst om han er i vannet. dersom noen ser gutt ring .,2023-08-05 10:53:22.732259700+00:00,
390,13965,23gsvr,Agder Politidistrikt,205,1,Lindesnes,23gsvr-0,politi vært i kontakt med vekt på utested som skal ha blitt skall i ansikt av gjest. gjerningsperson er løpt fra stedet. skal mul vær gjenkjent av vitne. ing personskade. politi opprett sak.,2023-07-21 22:15:19.190116400+00:00,
391,9222,23ht4z,Nordland Politidistrikt,210,7,Meløy,23ht4z-0,båt har kantret. fler person i sjøen. det pågår livredd førstehjelp på stedet. nødetat på vei.,2023-08-25 23:28:10.347947900+00:00,
393,8988,23c6b0,Sør-Øst Politidistrikt,204,5,Tønsberg,23c6b0-0,"politi er på kjell ett melding om personbil som har velt i rundkjøring ved korten. to person involvert, begg er sjekk av ambulans og vurder til å vær uskadd. bilberg er på sted og trafikk går som normalt.",2023-08-27 05:26:06.158578200+00:00,
398,12801,23x3v4,Sør-Øst Politidistrikt,204,8,Drammen,23x3v4-0,: politi søk med fler ressurs ett en savn mann i -årene. politihelikopt er på vei og frivil er kalt ut. melding oppdater når politi har mer informasjon.,2023-07-31 09:05:23.596621100+00:00,
401,99,23njgs,Sør-Øst Politidistrikt,204,5,Hol,23njgs-0,kl : - politi og brannves er på vei til sted ett melding trafikkuhell. et vogntog har vært utenfor vegban og dratt med seg del av autovern på stedet. det skal vær trafikal utfordring på stedet.,2023-10-24 10:37:31.073861900+00:00,
403,11893,23wk6m,Øst Politidistrikt,202,4,Rælingen,23wk6m-0,strømkabel falt over nedr rælingsveg i områd hektner. politi på sted og diriger trafikk i påvent av elvia.,2023-08-07 15:00:00.531623800+00:00,
411,2750,23k4wh,Nordland Politidistrikt,210,12,Vefsn,23k4wh-0,voldshend på privat adress i sentrum. patrulj er på sted og person er kjørt til legevakt av ambulanse. fremstår ikk som alvor personskade. politi etterforsk hendelsen.,2023-10-07 11:30:31.619701800+00:00,
423,12066,23bk6c,Nordland Politidistrikt,210,4,Bodø,23bk6c-0,nødetat rykk ut til trafikkulykk på tv ved tuv. en bil har kjørt av veien og truff en lyktestolpe. pr nu har vi ikk fler opplysninger. oppdater her når vi har mer info.,2023-08-06 00:55:17.704145600+00:00,
425,13335,236b62,Vest Politidistrikt,207,1,Bergen,236b62-0,kl : melding om menn som slåss med balltr og øks utenfor -. en kvinn skal også ha vært involvert. politi har nå kontroll på de tre.,2023-07-26 19:20:35.971059500+00:00,
430,15560,239gjn,Øst Politidistrikt,202,0,Lillestrøm,239gjn-0,kvinn i åren stjål divers privat eiendel fra sengepost. oppdag av vektere. patruklj er i kontakt med kvinnen. ing tilknytning til sykehuset.,2023-07-08 17:27:16.934620200+00:00,
445,8964,23fn5f,Trøndelag Politidistrikt,209,0,Trondheim,23fn5f-0,politi rykk ut til kalvskinn ett melding om person som forsøkt å ta seg inn i en contain på stedet. person forsvant lik etterpå med uforrett sak. politi kontroller nå en person som pass beskrivelsen.,2023-08-27 10:01:21.579063300+00:00,
452,15310,23c5f3,Agder Politidistrikt,205,2,Kristiansand,23c5f3-0,melding om påvirk person som har tatt seg inn i hytt til melder. hytt var ulåst og eier i området. mann forlot stedet. sannsynligvis samm person som var til sjenans for beboer på åro camping ett denn hendelsen.,2023-07-10 19:18:34.943445+00:00,
453,5253,238866,Trøndelag Politidistrikt,209,0,Trondheim,238866-0,"en mann i -år blir innbrakt til arrest ett å ha stjål øl, og knust ei ølflask på en butikk på øya.",2023-09-20 20:05:10.982568+00:00,
455,846,232hsc,Trøndelag Politidistrikt,209,2,Nærøysund,232hsc-0,"politi har hatt promillekontroll i foldavegen. her ble det kontroller førere, ing reaksjoner.",2023-10-19 09:45:42.335970400+00:00,
456,10595,23frjr,Sør-Øst Politidistrikt,204,11,Kragerø,23frjr-0,politibåt har kontroller fører av fritidsbåter. alt funn ok.,2023-08-16 18:37:00.619029100+00:00,
463,17277,23fg67,Sør-Øst Politidistrikt,204,0,Skien,23fg67-0,politi fikk melding om en person som utført innbrudd/tyveri fra områd tømmerkaia. ved vår ankomst påtraff vi en lokal kjenning i -årene. bra observasjon og bidrag fra innringer. person ble pågrep pga gjentakelsesfar - fremsto rus - kjørt arrest.,2023-06-02 06:11:49.616487+00:00,
473,3201,23n0jk,Innlandet Politidistrikt,203,5,Nord-Fron,23n0jk-0,kl. : politi har vært på sted ett melding om ulykk med en gravemaskin som hadd kjørt av veien og veltet. før er frakt til sykehus. politi har gjort undersøk på sted og opprett sak.,2023-10-04 15:34:19.730774800+00:00,
476,3446,23xz2x,Agder Politidistrikt,205,12,Kristiansand,23xz2x-0,politi rykk ut til melding og verbal krangel mellom fler personer. skal ha eskaler og vært en voldshend på stedet. uavklart situasjon. oppdateres.,2023-10-02 18:46:06.299086100+00:00,
481,11271,23d0jl,Agder Politidistrikt,205,1,Kristiansand,23d0jl-0,"kl , person nekt å oppgi navn til patrulje. innbring til arrest og anmeld for ikk å ha oppgitt personali til politiet.",2023-08-12 00:24:50.068667900+00:00,
489,4621,23rf4s,Agder Politidistrikt,205,9,Froland,23rf4s-0,kl. . melding om påkjørt elg på fv frolandsveien. ikk personskade. materiell skad på bil. uvisst om elg ble skadet. viltnemnd varslet.,2023-09-24 18:45:00.976351300+00:00,
496,6794,23dktc,Vest Politidistrikt,207,4,Voss,23dktc-0,"meld om røykutvikling frå brems på vogntog, ikkj vor opn flamm med ein del røyk. brannves og politi på veg, tunnel er stengd. ikkj meld om personskadar.",2023-09-10 20:01:58.172644500+00:00,
501,10384,23kc50,Sør-Øst Politidistrikt,204,0,Bamble,23kc50-0,kl. : politi har pågrep en mann i åren som er sikt for bilbrukstyveri fra kragerø natt til igår. bil er ikk funnet. mann innsett i arrest og vil avhør om forholdet.,2023-08-18 09:49:13.536396500+00:00,
