,parent_id,district,districtId,label,municipality,message_id,text,createdOn,updatedOn
10419,236cd6,Sør-Øst Politidistrikt,204,12,Porsgrunn,236cd6-0,"Patruljene har akkurat pågrepet en utenbys ung gutt i tenårene, med lokal tilknytning - i forbindelse med hendelsen tidligere i natt hvor en person ble truet og slått med pistol. Etterforskningen vil fortsette utover dagen. ",2023-08-18 03:11:30.384965400+00:00,
587,23xf9f,Vest Politidistrikt,207,4,Bergen,23xf9f-0,kl 2150: meldt om trafikkulykke E39 like ved Hordviktunnelen. Påkøyrsel bakfrå. Materielle skadar på to køyretøy. Ingen alvorlege personskadar. Politi og brann rykkjer ut.,2023-10-20 20:01:31.866628700+00:00,
7851,23c29j,Sør-Øst Politidistrikt,204,5,Midt-Telemark,23c29j-0,15:45 Nødetatene er på stedet etter melding om påkjørt fotgjenger. Fotgjengeren skal være et barn. Trolig ikke alvorlig personskade. Politiet på stedet undersøker omstendighetene.,2023-09-04 13:57:44.749589200+00:00,
1886,238jtj,Nordland Politidistrikt,210,4,Sortland,238jtj-0,"Politiet har gjennomført fartskontroll på Strand, Sortland. 7 forenklede forelegg ble utferdiget. Høyeste hastighet var 69 km/t i 50 sonen.",2023-10-12 23:57:45.815683900+00:00,
6724,235skf,Møre og Romsdal Politidistrikt,208,4,Sunndal,235skf-0,Melding om et sammenstøt mellom lastebil og personbil. Kun matr. skader. Noe kø på stedet. Dette blir løst opp raskt. Politiet oppretter sak på forholdet. Ambulanse er på stedet for se til de involverte parter.,2023-09-11 09:50:28.186363400+00:00,
12495,23357l,Troms Politidistrikt,211,2,Harstad,23357l-0,Politiet har bortvist en mann fra sentrum etter at to menn var i klammeri med hverandre utenfor et utsted. Årsaken var sjalusi. ,2023-08-02 23:38:09.639848400+00:00,
5534,235jnb,Innlandet Politidistrikt,203,6,Elverum,235jnb-0,kl. 0422: Politiet pågrepet to menn i 30-åra som er siktet for tyveri fra byggeplass. Den ene stakk fra stedet i bil med henger og ble stanset etter kort tid. Den andre ble pågrepet i nærheten. I bilen og på hengeren var det gods fra byggeplassen. Sak opprettes.,2023-09-19 04:26:24.025145500+00:00,
9935,23xh7b,Sør-Øst Politidistrikt,204,4,Porsgrunn,23xh7b-0,En lastebil står på brua i retning Skien. Dette skaper trafikale problemer. Politipatrulje er på vei til stedet. ,2023-08-21 05:24:03.959136700+00:00,
2327,23rhg5,Nordland Politidistrikt,210,4,Hadsel,23rhg5-0,Melding om en trailer som har kjørt inn i en tunnel som var stengt for vedlikehold. Tunnelen var stengt med rødt lys og bom som sperret det ene kjørefeltet. Politiet dro til stedet. Fører av trailer ble ilagt et ff for kjøring på rødt lys.,2023-10-10 00:47:15.498115600+00:00,
4643,238lbk,Agder Politidistrikt,205,6,Vennesla,238lbk-0,Kl. 1450. Melding om at det er oppdaget et nytt innbrudd i en eldre bolig i Erkleivveien. Skjedd i løpet av siste uke. Politiet har undersøkt åstedet. Opprettes sak. ,2023-09-24 16:15:38.212526800+00:00,
1020,23dflk,Innlandet Politidistrikt,203,4,Gran,23dflk-0,Kl. 1158: Trafikkuhell. En personbil har kjørt i grøfta. Bilen stoppet inntil en trafo stasjon.  Ingen personskade. Vegen er åpen.,2023-10-18 10:55:42.049107900+00:00,
5479,234791,Finnmark Politidistrikt,212,4,Tana,234791-0,Utrykningspolitiet har hatt en laserkontroll i skiltet 80-sone. Det ble utstedt 2 forenklede forelegg. Høyeste hastighet målt til 94km/t.,2023-09-19 12:29:23.376480+00:00,
4699,23sprd,Nordland Politidistrikt,210,4,Narvik,23sprd-0,Politiet har gjennomført promillekontroll. 106 førere kontrollert. Ingen reaksjoner. Tommel opp.,2023-09-24 08:00:08.430079100+00:00,
121,23xwm5,Sør-Øst Politidistrikt,204,4,Drammen,23xwm5-0,"Kl 09:07 - E18 nordgående kjøreretning, høyre kjørefelt - Melding om kjøretøystans. Bilberger er på vei til stedet. Politiet bistår med en patrulje i forhold til varsling. Noe redusert fremkommelighet ",2023-10-24 07:19:13.516523700+00:00,
4262,23p822,Agder Politidistrikt,205,0,Lindesnes,23p822-0,Politiet har ransaket adresse i sentrum etter funn av stjålet 4-hjuling. Det ble funnet gods som knyttes til innbrudd på bedriften som har blitt frastjålet 4-hjulingen. To personer pågrepet.,2023-09-27 10:26:57.750072+00:00,
12447,230lp1,Sør-Øst Politidistrikt,204,11,Færder,230lp1-0,12:40 Melding om en robåt som var strandet på et skjær. Dreier seg om en kostbar robåt av typen Lite Boat. Det er i samråd med HRS vurdert at det ikke er grunnlag for å iverksette redningsaksjon. Ta kontakt på tlf 02800 hvis du kjenner til båten.,2023-08-03 11:39:52.522998600+00:00,
17087,23zl22,Sør-Øst Politidistrikt,204,5,Ringerike,23zl22-0,"kl 18:59 - Politi og ambulanse rykket ut til stedet etter melding om trafikkulykke. Enslig lett MC kjørt ut av veibane og inn i autovern. MC fører, gutt i slutten av tenårene tilsett av ambulanse. MC hentet av bilberger. Nødetatene avslutter på stedet.",2023-06-06 18:27:49.781210800+00:00,
11670,23mn0w,Agder Politidistrikt,205,4,Froland,23mn0w-0,Kl 1045. UP stanset bil på Messelveien der fører mistenkes for ruskjøring. Blodprøve sikret. Vil også bli anmeldt for kjøring uten gyldig førerkort. ,2023-08-09 09:49:33.384477700+00:00,
5116,23gmfv,Agder Politidistrikt,205,0,Risør,23gmfv-0,Vi er på stedet etter melding om grovt tyveri fra bedrift. ,2023-09-21 19:59:37.372390+00:00,
16320,23d9tp,Sør-Øst Politidistrikt,204,3,Sandefjord,23d9tp-0,"04:48 Nødetater har rykket ut til brann i kjøretøy. Brenner i tre biler. Mye røyk. Står inntil kontorlokaler, ingen boliger i nærheten. Oppdateres.",2023-06-24 03:01:20.418214+00:00,
3098,237bv6,Agder Politidistrikt,205,4,Lillesand,237bv6-0,Melding om trafikkulykke. Enslig bil har kjørt inn i lyktestolpe. To personer i bilen. Disse er våkne og bevisste. Ambulanse og politi er på vei. ,2023-10-05 11:34:58.396876800+00:00,
3783,234k6l,Agder Politidistrikt,205,4,Kristiansand,234k6l-0,Kl 1815. UP stanset bil i området Fiskå der fører vil bli anmeldt for kjøring uten gyldig førerkort. ,2023-09-30 16:42:38.579014200+00:00,
1048,238prb,Vest Politidistrikt,207,4,Sunnfjord,238prb-0,"Kl. 0936:  En anleggsmaskin har veltet på E39, i nærheten av Langebrua. Kun fører i anleggsmaskinen. Bevisst, og får behandling på stedet av helsepersonell. Ukjent skadeomfang på fører. Nødetater er på staden. Et kjørefelt åpent på E39. ",2023-10-18 07:50:40.868693500+00:00,
44,23dr2d,Agder Politidistrikt,205,2,Kristiansand,23dr2d-0,"Mann bortvist fra Kvadraturen frem til 0800 grunnet ordensforstyrrelse. Mannen kranglet med dørverter på et utested, var nektet adgang.",2023-10-25 00:10:53.253763400+00:00,
10888,235t78,Agder Politidistrikt,205,4,Kristiansand,235t78-0,Melding om trafikkuhell på RV9 ved Dalane. Bil skal ha kjørt ut og truffet en lyktestolpe. Skal ikke være personskade. Trafikken går greit forbi stedet.,2023-08-14 15:53:36.674790100+00:00,
6965,23h02k,Agder Politidistrikt,205,2,Kristiansand,23h02k-0,En beruset personer innbringes til arresten etter å ha forulempet andre gjester og vektere på utested. Personen anmeldes for ordensforstyrrelse. Innsettes i drukkenskapsarrest.,2023-09-09 22:43:42.895802+00:00,
11675,23561g,Øst Politidistrikt,202,1,Halden,23561g-0,Politiet og ambulanse er på stedet hos en bedrift hvor det har vært en arbeidsulykke. En arbeidstaker som har skadet seg i armen. Vedkommende får behandling av helsepersonell. Politiet oppretter sak og arbeidstilsynet er rutinemessig varslet av arbeidsgiver. ,2023-08-09 08:20:04.747817100+00:00,
6113,23321s,Agder Politidistrikt,205,4,Kristiansand,23321s-0,"UP har gjennomført trafikkontroll på Travparkveien. 32 ble bøtelagt for å ha kjørt for fort, 4 fikk gebyr for manglende bruk av bilbelte og en fikk bot for ulovlig bruk av mobiltelefon. ",2023-09-15 10:51:01.362171800+00:00,
6807,23tj1t,Innlandet Politidistrikt,203,4,Ringsaker,23tj1t-0,"UP har hatt trafikkontroll i en 60-sone på Nesvegen. Resultatet ble tre forenklede forelegg for hastighet, hvor den høyeste hastigheten ble målt til 79 km/t. Det ble også utferdiget et gebyr for manglende bruk av bilbelte. ",2023-09-10 17:38:39.204490+00:00,
3937,23f25c,Sør-Øst Politidistrikt,204,4,Vinje,23f25c-0,15:30 Patruljen har hatt promillekontroll ved Møsvatn. 10 bilførere og to båtførere kontrollert. Alle var edru.,2023-09-29 13:43:59.611887800+00:00,
15766,23mvlt,Sør-Øst Politidistrikt,204,4,Tønsberg,23mvlt-0,kl 17:04 - FV308 - Politiet er på stedet etter melding om trafikkuhell mellom to kjøretøy i samme kjøreretning. Trafikken kan passere på stedet. ,2023-07-06 15:14:32.355985200+00:00,
14168,23nltq,Nordland Politidistrikt,210,3,Narvik,23nltq-0,"Brann og politi rykket ut til Bjerkvik barne- og ungdomsskole etter melding om røykutvikling. Røykutviklingen skyldes arbeid på stedet, det har ikke vært brann. Ingen personskader. ",2023-07-20 06:47:57.187166100+00:00,
6014,23vflj,Møre og Romsdal Politidistrikt,208,2,Ålesund,23vflj-0,Melding fra et utested om at de har problemer med en gjest. Personen  ønsker ikke å forlate stedet etter oppfordring. Patrulje til stedet.,2023-09-15 22:16:44.176375700+00:00,
15631,231v7t,Sør-Øst Politidistrikt,204,2,Drammen,231v7t-0,kl 03:13 - Sankt Olavs gate - En mann i 20 årene urinerte på offentlig sted. Han ble anmeldt av politiet for forholdet. ,2023-07-08 01:26:32.656500600+00:00,
15037,23vgw1,Øst Politidistrikt,202,4,Fredrikstad,23vgw1-0,Patrulje har stanset bil hvor fører fremstår både alkoholpåvirket og ruspåvirket. Vedkommende har ikke gyldig førerkort og er tatt for tilsvarende forhold tidligere.,2023-07-13 12:27:56.917023100+00:00,
1149,23ph99,Innlandet Politidistrikt,203,3,Sør-Odal,23ph99-0,kl. 1256: Melding om brann i bolig. Brannen er slukket. En person har fått i seg røyk og undersøkes av helsevesenet. ,2023-10-17 11:27:07.112382900+00:00,
254,234bzc,Sør-Øst Politidistrikt,204,6,Skien,234bzc-0,23:15 - Politiet er i Liegata etter melding om innbrudd i en bedrift. Det er knust en rute og en person har tatt seg inn. Innehaver er varslet. Det er stjålet kontanter. Politiet har foretatt en åstedsundersøkelse og etterforsker saken videre. ,2023-10-22 21:19:03.377056400+00:00,
2403,23fpt6,Øst Politidistrikt,202,3,Ullensaker,23fpt6-0,"E16 Ravinevegen ved nr 3, Melding om brann i dekket på en søppelbil. Brann og politiet på stedet. Må forvente trafikale problemer. ",2023-10-09 11:33:22.852208300+00:00,
1010,2387jb,Sør-Øst Politidistrikt,204,4,Drammen,2387jb-0,kl 13:39 - UP kontrollerte en personbil ført av en gutt i slutten av tenårene. Han hadde ikke gyldig førerkort og blir anmeldt for forholdet. ,2023-10-18 12:21:00.438968800+00:00,
13053,23nr9q,Sør-Øst Politidistrikt,204,1,Horten,23nr9q-0,"02:05 Vakt på et utested hadde sett en gjest med kokain og tatt ifra han det han hadde igjen. Politiet ble tilkalt og gjesten, en 18 år gammel mann, erkjente forholdet. Kokainet ble tatt i beslag og sak opprettes. ",2023-07-29 00:38:46.534135700+00:00,
5443,23m23s,Møre og Romsdal Politidistrikt,208,4,Rauma,23m23s-0,Kvinne mistenkt for kjøring i påvirka tilstand på Nordsidevegen i Rødvenfjorden. Blodprøve tatt og sak opprettes.,2023-09-19 15:06:00.306004100+00:00,
12736,23l0gn,Sør-Øst Politidistrikt,204,2,Sandefjord,23l0gn-0,"Patruljen har innbrakt en Skien-mann i 20-årene, etter at han var ruset og aggressiv opp på et buss skur. Fremstod truende med ei glassflaske i hånden. Kjørt arrest og sak opprettet. ",2023-07-31 21:55:58.933013200+00:00,
13428,23jvld,Troms Politidistrikt,211,1,Lavangen,23jvld-0,"Brannvesen rykket ca kl 0030 ut til en bolig der det var meldt om bålbrenning. Det var flere personer på stedet og amper stemning da brannvesenet kom og slukket bålet. Forholdet løste seg etter en stund, men de involverte vil bli anmeldt for forholdet.  ",2023-07-26 01:24:55.948126300+00:00,
6352,230bhz,Agder Politidistrikt,205,4,Lindesnes,230bhz-0,"UP har hatt fartskontroll på E39 . 3bilførere fikk forenklet forelegg i 60-sone, høyeste hastighet var 79 km/t.",2023-09-13 19:53:11.446678800+00:00,
3362,234jbj,Troms Politidistrikt,211,3,Harstad,234jbj-0,"Brannutrykning til sentrumsbygg Harstad. Ikke bekreftet brann, men lukter svidd på stedet, nødetatene til stedet. ",2023-10-03 12:32:42.088467700+00:00,
6917,23bjpz,Sør-Øst Politidistrikt,204,13,Seljord,23bjpz-0,03:00 Patruljen bortviste en mann i 20-åra fra sentrum pga skadeverk på et skilt. Anmeldes for skadeverk. Kl 03:40 observerte patruljen han i sentrum igjen. Blir også anmeldt for brudd på politiets pålegg.,2023-09-10 01:47:35.120521700+00:00,
1676,23f3gs,Finnmark Politidistrikt,212,4,Berlevåg,23f3gs-0,: kl. 0920: melding om et trafikkuhell. En ATV har kjørt inn i en bolig i Berlevåg. 2 personer skadd og behandles på legevakta. Fører mistenkt for kjøring i alkoholpåvirket tilstand. Blodprøver tas. Sak opprettes. ,2023-10-14 08:36:30.704645900+00:00,
14836,23h7pf,Sør-Øst Politidistrikt,204,5,Horten,23h7pf-0,21:38 melding om en MC som har kjørt i siden på en bil. Ambulansen og politiet er på stedet. MC føreren ble sjekket av ambulansen og fraktet til akuttmottaket i Tønsberg. Fremstår pr nå ikke som alvorlig.,2023-07-14 20:12:57.477624100+00:00,
11370,23w41c,Sør-Øst Politidistrikt,204,12,Drammen,23w41c-0,"13:20 Melding om håndgemeng mellom to drosjesjåfører. Politiet er på stedet og i kontakt med en av partene. Bakgrunnen skal være krangel om en kunde. Parten som politiet er i kontakt med blør litt i ansiktet, men skal ikke være alvorlig skadet.",2023-08-11 12:05:10.365060100+00:00,
10724,23x98j,Nordland Politidistrikt,210,4,Rana,23x98j-0,Politiet har gjennomført en trafikkontroll på stedet. Resultat: 19 forenklede forelegg og 1 midl. førerkortbeslag - 122 km/t i 80-sonen.,2023-08-15 20:03:51.090415+00:00,
11268,23gbhc,Agder Politidistrikt,205,2,Arendal,23gbhc-0,"Kl 0209, beruset mann innbringes til arresten. Skal ha oppført seg dårlig på et utested.",2023-08-12 00:39:59.957005600+00:00,
17330,23ggtf,Sør-Øst Politidistrikt,204,3,Porsgrunn,23ggtf-0,"Kl 01:26 fikk nødetater melding om brann i et omsorgssenter. Det viste seg å ha brent i en sofa. Brannen er slukket, men det er en del røyk i aktuell leilighet. Grunnet røyken er det besluttet å evakuere alle beboere, minst 1 person har fått seg noe røyk.",2023-05-31 23:34:06.356195800+00:00,
13240,236hj7,Trøndelag Politidistrikt,209,3,Trondheim,236hj7-0,"Meldt om brann i uthus på Tunga, nærme E6.  Nødetatene er på vei til stedet.",2023-07-27 17:14:14.256816+00:00,
7526,23cpfm,Sør-Øst Politidistrikt,204,4,Holmestrand,23cpfm-0,Kl. 21:17 Melding om mulig trafikkulykke på #Sandebuktveien. Nødetatene rykker ut til stedet. Oppdateres.,2023-09-06 19:22:48.322765100+00:00,
5037,23mcxg,Sør-Øst Politidistrikt,204,4,Drammen,23mcxg-0,18:15 Flere melding om person som gikk  og vinglet inne i tunnelen. Tunnelen ble stengt. Politiet er på stedet og har kontroll på en mann. Tunnelen er åpnet igjen. ,2023-09-22 16:31:16.010338500+00:00,
7135,234h49,Trøndelag Politidistrikt,209,2,Trondheim,234h49-0,"Vektere melder kl. 0106 at de trenger bistand  på et utested i sentrum. De har en gjest på stedet som er ufin og som har slått en vekter. Personen, en mann i 20 årene, etterkommer ikke pålegg fra politiet. Han kjøres til arrest. ",2023-09-08 23:39:10.695159400+00:00,
8224,2303s6,Trøndelag Politidistrikt,209,2,Trondheim,2303s6-0,"Mann i tenårene bortvist fra festivalområdet etter ordensforstyrrelse. Bortvist fra stedet, men returnerte etter få minutter. Innbrakt til arrest og anmeldt. ",2023-09-01 19:17:47.360488200+00:00,
10704,239w4j,Sør-Øst Politidistrikt,204,4,Drammen,239w4j-0,"UP patrulje stanset bil og sjåføren, mann i slutten av 20 årene, testet positivt på cannabis og kokain. Utvidet prøve ble tatt og saken anmeldt. Mannens førerkort ble beslaglagt. ",2023-08-16 03:33:43.790339700+00:00,
2293,23zk86,Sør-Øst Politidistrikt,204,4,Drammen,23zk86-0,Ambulanse og politi rykker ut til en trafikkulykke - det skal være en fotgjenger som er påkjørt - fotgjenger klager på smerter i bein. Oppdateres. ,2023-10-10 07:17:58.513865100+00:00,
8162,23n59n,Sør-Øst Politidistrikt,204,4,Drammen,23n59n-0,"Politiet har sammen med UP hatt promillekontroll. 
333 ble kontrollert. 
2 ble anmeldt for promillekjøring - en med førerkortbeslag og en med lavpromille. ",2023-09-02 09:25:27.866800900+00:00,
14287,238sq5,Møre og Romsdal Politidistrikt,208,2,Molde,238sq5-0,En mann i 20-årene fra Hustadvika kommune anmeldes for ordensforstyrrelse på offentlig sted og han er bortvist fra Molde sentrum til klokken 0800.,2023-07-19 02:14:53.215861200+00:00,
2725,23j8r2,Øst Politidistrikt,202,4,Frogn,23j8r2-0,Nødetatene rykker ut il Drøbak etter melding om MC-ulykke. Fører er våken. Singelulykke. Fører har hatt på hjelm. ,2023-10-07 13:29:41.148576600+00:00,
4034,235rz9,Agder Politidistrikt,205,2,Flekkefjord,235rz9-0,Kl. 1932. Melding om at noen ungdommer bruker fyrverkeri i sentrum. ,2023-09-28 17:36:55.573937500+00:00,
6065,23zz3v,Trøndelag Politidistrikt,209,4,Stjørdal,23zz3v-0,UP har avholdt laserkontroll på E6-Forbordsletta. Utferdiget 7 forenklede forelegg. Høyeste hastighet 86 km/t i 70 km/t sone.,2023-09-15 17:57:58.280468800+00:00,
10721,23m7bn,Sør-Øst Politidistrikt,204,4,Drammen,23m7bn-0,"UP stanset bil og fører, mann i 40 årene, slo ut på amfetamin på hurtigtest. Mannen ble fremstilt for blodprøve. Han hadde heller ikke gyldig førerkort.

Forholdene anmeldt og bilen parkert. ",2023-08-15 22:01:39.106761200+00:00,
3079,23vcr6,Sør-Øst Politidistrikt,204,4,Skien,23vcr6-0,Nødetatene rykker ut til en trafikkulykke - bil mot fotgjenger. Oppdateres. ,2023-10-05 12:14:28.002871200+00:00,
11527,23xq2q,Trøndelag Politidistrikt,209,2,Trondheim,23xq2q-0,En innringer til politiet har funnet en 4 år gammel gutt som gikk ute alene langs en trafikkert vei på Tiller. Politiet er på stedet og forsøker å få kontakt med foreldre.,2023-08-10 09:34:13.837183700+00:00,
10760,235jj9,Trøndelag Politidistrikt,209,4,Trondheim,235jj9-0,Nødetater rykker ut til et uhell mellom en lastebil og en el-sykkel i Stiklestadveien. Fører av el-sykkel er våken men smerter. Oppdateres.,2023-08-15 14:11:14.090015+00:00,
2998,23xt80,Trøndelag Politidistrikt,209,4,Trondheim,23xt80-0,"Melding om en liten rød bil som kjører i feil kjørebane v/Buran. Ei eldre dame som virket forvirret var sjåfør.
Politipatrulje fikk stanset bilen. Dame i 70 åra fikk sitt førerkort midlertidig beslaglagt. Sak opprettes av patruljen.",2023-10-06 00:04:28.941575900+00:00,
14996,23srn5,Nordland Politidistrikt,210,4,Vefsn,23srn5-0,"UP har gjennomført laserkontroll i 80 sonen på stedet. Resultat: Fire FF, høyeste hastighet 107 km/t.",2023-07-13 18:19:33.437852700+00:00,
5206,238w6c,Vest Politidistrikt,207,4,Bergen,238w6c-0,"Kl. 0858: Påkjørsel bakfra. Høyre felt stengt. To biler, tre personer. Ikke røyk eller lekkasjer. En bil ikke kjørbar. Bilberger rekvirert. Ambulanse sendt mot stedet, men ikke opplyst personskader. Trafikken går i venstre felt. ",2023-09-21 07:06:47.768398600+00:00,
