parent_id,district,districtId,label,municipality,message_id,text,createdOn
23013r,Sør-Øst Politidistrikt,204,2,Drammen,23013r-0,Politiet rykker ut til røykutvikling i næringsbygg. Oppdateres. Brannvesenet og politiet er på stedet. Det brenner i et ventilasjonsanlegg. Ingen personer er skadet. Nødetatene har avsluttet på stedet. Det var branntilløp i et batteri. Brannvesenet har luftet ut.,2023-08-16T05:21:00.9109488+00:00
23016r,Sør-Øst Politidistrikt,204,1,Modum,23016r-0,UP har gjennomført trafikkontroll på stedet. Fem førere ble ilagt forenklet forelegg. Høyeste målte hastighet var 54 km/t i 40 - sonen. En fører ble anmeldt for kjøring uten gyldig førerkort og mistanke om kjøring i påvirket tilstand. Nødvendige prøver tatt.,2023-09-19T14:10:54.1406014+00:00
230173,Øst Politidistrikt,202,9,Lillestrøm,230173-0,"Politipatrulje har kontroll på en mann som har gjort skadeverk på flere biler utenfor Biltema på Skjetten.  Kun en bil med skader på stedet. En brannbil tilhørende Nedre Romerike Brann og Redning. Mistenkte, en mann i 30-årene fra Lillestrøm, er bortvist fra stedet og anmeldes for skadeverket.",2023-10-23T10:58:37.7867103+00:00
230191,Sør-Øst Politidistrikt,204,1,Skien,230191-0,"Up har hatt laserkontroll i 50 sone på Svanvikveien. 
11 stk har fått forenkla forelegg. Høyeste hastighet ble målt til 70 km/t.",2023-06-22T13:12:23.484143+00:00
23019h,Trøndelag Politidistrikt,209,1,Trondheim,23019h-0,"Politiet fikk kl. 04:54 kontroll på en kvinnelig fører i 60-årene, etter flere meldinger om bil som kjørte i feil kjøreretning på E6, som medførte fare for frontkollisjon. Fører anmeldes og førerkortet beslaglegges. Det er ikke mistanke om ruskjøring.",2023-09-23T03:27:12.3294679+00:00
2301fm,Agder Politidistrikt,205,1,Flekkefjord,2301fm-0,"Melding om bilstans i Skjeggestadtunnelen, østgående retning. Uvisst hva som har skjedd. Skal være kø på stedet. Følg med på oppdatert info på Vegvesenets nettside.  Bilberger skal være på vei mot stedet. Vegvesenets entreprenør skal også være på vei for å bistå.",2023-07-21T15:12:49.8875384+00:00
2301jj,Sør-Øst Politidistrikt,204,3,Skien,2301jj-0,10:20 Melding om observasjon av en stjålet jolle med en person ombord. Politiet på stedet fikk kontroll på en mann i 40-åra som var i båten. Han blir anmeldt for tyveri av båten. Båteier varslet.,2023-08-10T09:43:04.3479582+00:00
2301mm,Vest Politidistrikt,207,1,Bergen,2301mm-0,"Meldt om sammenstøt mellom mc og personbil retn sør, mc kjørt inn i personbil. Ikke meldt om alvorlige personskader, veien er ryddet av patruljen nå.",2023-10-20T13:29:01.3009901+00:00
2301pz,Agder Politidistrikt,205,3,Arendal,2301pz-0,"Dame pågrepet, mistenkt for tyveri av båt og sykkel. Båten er tilbakelevert eier. Sak opprettes. ",2023-08-10T15:49:20.8466531+00:00
2301qs,Vest Politidistrikt,207,5,Bergen,2301qs-0,kl 0145: Meldt om mann som solgte narkotika. Patrulje til stedet og kontrollerte en mann i slutten av 30-årene. Han var godt beruset og satte seg opp mot patruljen. Innsatt i drukkenskapsarrest. Anmeldes for salg av narkotika og forulemping av politiet.,2023-10-22T04:14:14.9315216+00:00
2301th,Agder Politidistrikt,205,1,Kristiansand,2301th-0,UP har stanset biler som kjører i kollektivfeltet på Bjørndalssletta. 3 bilfører fikk forenklet forelegg. ,2023-09-14T14:16:29.9681721+00:00
2301w7,Sør-Øst Politidistrikt,204,1,Nesbyen,2301w7-0,"Kl. 21:46 UP har hatt laserkontroll i 80-sonen, rett nord for #Nesbyen. Resultat: 6 forenklede forelegg og 1 anmeldelse med førerkortbeslag. Høyeste hastighet var 129 km/t.",2023-06-03T01:47:54.3751161+00:00
2301wp,Sør-Øst Politidistrikt,204,1,Kviteseid,2301wp-0,"Kl. 10:27 - Melding om sammenstøt mellom MC og personbil i nærheten av Kviteseid gamle kyrkje. Ukjent omfang per nå. Oppdateres. Ambulansen er på stedet. Skal være snakk om en front mot front kollisjon. Fører av MC er bevisst og tilsees av helsepersonell. Politiet er fortsatt på vei til området. Politiet er på stedet. Foregår manuell dirigering på stedet. MC fører tilsees for mulig bruddskader. MC fører kjørt sykehus for behandling. Veien er åpnet, og politiet oppretter sak.",2023-09-17T08:31:36.1693067+00:00
2301zw,Sør-Øst Politidistrikt,204,2,Sandefjord,2301zw-0,01:13 Nødetater har rykket ut til brann i et skogholt i nærheten av bebyggelse. Brannen er slukket. Har brent noen kvadratmeter. En gutt på stedet som hadde tent på noe. Kontroll på han. ,2023-06-15T23:33:50.842779+00:00
23022c,Øst Politidistrikt,202,7,Nesodden,23022c-0,"Hittegods: Politiet har hentet 2 stk EL-syker, som foreløpig ikke er meldt stjålet. Eiere som savner tilsvarende sykler kan ringe politiet på tlf 02800.   ",2023-09-29T16:41:51.7156287+00:00
23022z,Vest Politidistrikt,207,1,Bergen,23022z-0,"Politiet er på vei til stedet etter melding om en semitrailer som blokkerer veien. Det er ikke mulig for andre trafikanter å komme forbi. VTS har også fått melding om det samme. Semitraileren står i Statsminister Michelsens vei. Politiet er på stedet. Veien er helt sperret. Semitraileren er på stedet for å levere varer og har i den forbindelse kjørt seg fast. Tungbilberger er på vei til stedet. Politiet kjører fra stedet. Veien er sperret inntil bilberger har fått fjernet den, uvisst hvor lang tid det tar. Bilberger har fjerna bilen. Fri ferdsel på staden.",2023-07-11T13:59:43.0776896+00:00
2302cs,Sør-Øst Politidistrikt,204,1,Larvik,2302cs-0,Kl 17:42 fikk vi melding om påkjørsel bakfra ved Kiwi i Brunlanesveien. En campingvogn ble påkjørt bakfra. Da politiet kom til stedet var bilen som kjørt på vogna borte. Patruljen fant ut av hvor bilen hørte hjemme. Mann i 20 årene fikk førerkort beslaglagt  Det oppstod ingen personskader i forbindelse med uhellet.,2023-07-03T18:08:18.4062828+00:00
2302gt,Sør-Øst Politidistrikt,204,0,Drammen,2302gt-0,"Politiet er ved et hus, etter melding om at tre personer har tatt seg inn der - uten lovlig opphold. Stedet tilhører trolig en institusjon, og gjerningspersonene hadde stjålet med seg lysestaker og noen pyntegjenstander av liten verdi.  Tre ""gode"" lokale kjenninger er foreløpig anholdt. De hadde nappet av et vindu for ta seg inn. Vi forsøker å varsle huseier.  Stedet blir lukket og avlåst av patruljen.",2023-08-18T00:53:56.8659803+00:00
2302kj,Øst Politidistrikt,202,1,Våler,2302kj-0,"Trafikkulykke i Våler. To biler som har kollidert ved Teksnes. Nødetater på stedet. Ikke alvorlig personskade, men en del trafikale problemer.",2023-08-20T16:27:48.036078+00:00
2302nk,Sør-Øst Politidistrikt,204,1,Ringerike,2302nk-0,kl 08:50 - Politiet har i løpet av formiddagen avholdt trafikkontroll i sentrum med fokus på kjøring i ruspåvirket tilstand. 56 kontrollert. Alt ok ,2023-09-24T08:07:06.7696881+00:00
2302r8,Vest Politidistrikt,207,1,Bergen,2302r8-0,"Kl 1724 meldt om trafikkulykke ved Mårdalen bybanestopp. To bilar involverte, 3 personar. Alle ute av bilane, alle vaken og medviten. Røyk frå ein bil, mogleg frå kollisjonspute. Lekkasje frå ein bil. Trafikale utfordringe, mykje trafikk. Politi og helse rykkjer ut.",2023-09-27T15:32:17.0076489+00:00
2302rw,Vest Politidistrikt,207,1,Sunnfjord,2302rw-0,"Kl 1030. Politipatrulje har stanset en mann på el-sparkesykkel. Mistanke om kjøring i alkoholpåvirket tilstand. Gjennomført utåndingsprøve. 
Sak opprettet. ",2023-07-08T09:16:53.7978815+00:00
2302tr,Trøndelag Politidistrikt,209,2,Levanger,2302tr-0,"Det meldes om kraftig røykutvikling fra en fabrikk i området Sætersmyra. Nødetatene er på vei. Det viser seg at røyken kommer fra ei pipe. Trolig er alt som normalt. Politiet avbryter utrykning, brannvesenet kjører for å sjekke.",2023-09-10T15:53:48.2185605+00:00
2302xm,Trøndelag Politidistrikt,209,1,Frøya,2302xm-0,"Nødetatene rykker ut til trafikkulykke på Frøyaveien. En bil med to personer er involvert, begge er bevisst og oppegående. Nødetatene er på stedet. Begge airbaggene på bilen er utløst, ingen er fastklemt, en person lettere skadd. Bilen har kjørt inn i en støttemur som går langs veien, da det kom en bil imot. Politiet oppretter sak.",2023-08-22T14:58:37.5393228+00:00
230342,Øst Politidistrikt,202,1,Sarpsborg,230342-0,"En bil har kjørt ut av Svinndalsveien, nord for Ramberg. En person i bilen, kjøres til Kalnes av ambulanse. Skadestedet er sikret.  Trafikken blir dirigert forbi på stedet, men noe kø må påregnes. Bilberging er bestilt. Bilberger er på stedet og iverksetter berging av bil. Politiet er ferdig på stedet og oppretter sak. Mannlig fører er kjørt til sykehus, vi har ingen ny informasjon om skadegrad.",2023-10-02T16:52:44.8608412+00:00
23034n,Sør-Øst Politidistrikt,204,1,Hole,23034n-0,"Nødetatene har rykket ut etter melding om en sykkelulykke. 

Meldingen oppdateres.  Syklisten skal ha sklidd og falt av sykkelen. Ingen andre kjøretøyer skal være involvert. Det er kun en person involvert. Luftambulansen har vært på stedet og hentet sykelisten. Vedkommende er flydd til Ullevål. Vedkommende er ikke livstruende skadet. Det var en mann i 50 årene bosatt i Trondheim som er sendt til sykehus. Politiet oppretter sak.",2023-07-15T12:18:27.2651277+00:00
23038p,Troms Politidistrikt,211,1,Tromsø,23038p-0,"@utrykningspol har gjennomført promillekontroll i Eidkjosen. 121 førere kontrollert, ingen overtredelser avdekket. ",2023-08-24T11:33:34.0590152+00:00
2303bd,Troms Politidistrikt,211,1,Tromsø,2303bd-0,Kl. 0526. En bil har kjørt inn i en lyktestolpe. Bilfører stakk fra stedet. Politiet har kontroll på en mann. Politiet mistenkte mannen for promillekjøring og ruspåvirket kjøring. Blodprøve er siket. Sak opprettes. ,2023-08-27T05:19:19.9149001+00:00
2303ff,Troms Politidistrikt,211,5,Tromsø,2303ff-0,Politiet var vitne til en voldshendelse på Stortorget. Patruljen anmelder mannen for ordensforstyrrelse og han ble gitt et pålegg om å forlate sentrum.,2023-10-01T02:35:52.0399002+00:00
2303j5,Sør-Øst Politidistrikt,204,4,Skien,2303j5-0,16:58 Trafikkulykke mellom sparkesykkel og bil i gangfelt. Patruljen er på stedet nå. Oppdateres. Sparkesykkelen er ikke lenger kjørbar. Fører kjøres legevakten. Vi mistenker bilfører for brudd på vikeplikten. Førerkortet ble beslaglagt. Sak opprettet.,2023-10-04T15:36:18.5021947+00:00
2303jr,Sør-Øst Politidistrikt,204,2,Flesberg,2303jr-0,21:22 Brannvesenet har fått flere meldinger om flammer og svart røyk i området ved Nørdre Åslandsetra. Mulig hyttebrann. Nødetater er på vei.  Brannvesen og politi på stedet. Har funnet at det brenner i et vedskjul ved en hytte på Grønnehovd. Brannvesenet har fått slått ned brannen og driver med etterslukning. Ingen konklusjon på brannårsak. Oppretter sak.,2023-07-17T19:31:27.5582197+00:00
2303lg,Trøndelag Politidistrikt,209,7,Trondheim,2303lg-0,Mann i 30-årene pågrepet og innbrakt for besittelse av narkotika og ulovlige tabletter. Anmeldes. ,2023-07-22T01:01:27.3723041+00:00
2303ph,Møre og Romsdal Politidistrikt,208,1,Gjemnes,2303ph-0,"UP har gjennomført fartskontroll i 80-sone på E39 Batnfjordvegen.
6 ff - høgste fart var 96 km/t.",2023-08-29T12:27:12.3781055+00:00
2303s6,Trøndelag Politidistrikt,209,5,Trondheim,2303s6-0,"Mann i tenårene bortvist fra festivalområdet etter ordensforstyrrelse. Bortvist fra stedet, men returnerte etter få minutter. Innbrakt til arrest og anmeldt. ",2023-09-01T19:17:47.3604882+00:00
2303w7,Innlandet Politidistrikt,203,10,Ringsaker,2303w7-0,"Flere meldinger om en gris i og rundt rundkjøringen ved Shell Brumunddal og Nesvegen. En patrulje fra politiet fikk tak i dyret. Grisen er nå låst inne på en adresse i nærheten, mens vi forsøker å lokalisere eier.  Ikke meldt om trafikaleutfordringer. Eier av grisen har meldt seg.",2023-10-06T11:29:39.3414587+00:00
230408,Sør-Øst Politidistrikt,204,7,Ringerike,230408-0,Politiet vil ha en øvelse som vil innebære en del helikopter aktivitet i området i perioden 1000-1300.,2023-07-28T08:22:28.6953205+00:00
230438,Sør-Øst Politidistrikt,204,1,Lier,230438-0,Det har kommet inn flere melding om at det henger et tre over veien mellom Egge og Sjåstad. Treet henger over flere ledninger. Glitre Energi er på vei. ,2023-09-03T09:28:57.5571911+00:00
230450,Agder Politidistrikt,205,1,Kristiansand,230450-0,Kl. 0848. Bil stoppet ikke for kontroll på Vågsbygdveien ved Augland og stakk av. Politiet har søkt etter bilen uten resultat. ,2023-09-07T07:27:10.3347147+00:00
230472,Agder Politidistrikt,205,1,Kristiansand,230472-0,"VTS melder om bil som har snurret rundt i Flekkerøytunnelen. Bilen skal nå stå i en nødlomme.  Fremstår ikke alvorlig, to personer i bilen, begge ute av bilen og oppegående. AMB og politi på vei til stedet. Oppdateres. Ingen personskade på de involverte, ingen skade i tunnelen. Ikke sak, fører ordner selv med berging. Vi drar fra stedet.",2023-08-13T11:59:38.7028997+00:00
230491,Sør-Øst Politidistrikt,204,1,Drammen,230491-0,"UP hadde trafikkontroll på formiddagen som resulterte i 11 gebyr for ikke bruk av bilbelte, 11 forenklede forelegg for kjøring i strid med skilt svingforbud og ett forenklet forelegg for bruk av håndholdt mob tlf. ",2023-10-11T13:01:05.7271171+00:00
2304cb,Sør-Øst Politidistrikt,204,0,Tønsberg,2304cb-0,01:40 Melding om person som hadde tatt seg inn i en garasje og stjålet en mopedbil. Politiet har vært på stedet. Ikke funnet gjerningsmannen eller mopedbilen. Har snakket med fornærmede og oppretter sak. ,2023-07-30T02:00:27.6702861+00:00
2304cs,Nordland Politidistrikt,210,2,Hadsel,2304cs-0,"Nødetatene rykker ut til brann i bolighus. Oppdateres her. Vi er i kontakt med en beboer, det skal ikke være noen i huset. Brannvesenet er godt i gang med slukking. Fv7634 er stengt ved brannstedet. Brannmannskaper på stedet melder at de har kontroll på stedet. Politiet har startet etterforsking. Brann ferdig på stedet, veien er åpnet igjen. Det har brent kun i yttervegg, men det har vært mye røøyk inne i boligen.",2023-10-14T10:07:17.806796+00:00
2304f1,Nordland Politidistrikt,210,1,Sørfold,2304f1-0,Laserkontroll gjennomført av UP i 80-sone. 4 forenklede forelegg. Høyeste hastighet 93 km/t. ,2023-08-03T19:33:58.1823785+00:00
2304gc,Møre og Romsdal Politidistrikt,208,1,Kristiansund,2304gc-0,Har vært trafikkontroll på stedet. Resultat: fem forenklet forelegg der høyeste fart var 102 km/t i 80 sone.,2023-08-28T18:42:10.2676564+00:00
2304j8,Øst Politidistrikt,202,1,Skiptvet,2304j8-0,Melding om trafikkulykke. Nødetater er på vei. Fremstår som en singelulykke. Skal ha vært 3 personer i bilen. Bilen har rulla/veltet flere ganger. Ukjent pr nå om det er personskader. Nødetater er fremme på stedet. Alle tre personer er ute av bilen og blir sjekket av helse. Alle tre som var i bilen blir tatt med til sykehus for videre undersøkelser. Bilen har rulla/veltet flere ganger. Pr nå ukjent hvorfor situasjonen oppstår. Stedet er ryddet og trafikken kan gå som normalt. Politiet vil jobbe videre med hendelsen.,2023-09-14T07:57:23.7011606+00:00
2304k2,Vest Politidistrikt,207,1,Alver,2304k2-0,"Bil rygga på MC, ikkje meldt om alvorlege personskadar, låg fart. Politi og ambulanse på staden.",2023-09-08T15:29:38.2556919+00:00
2304sk,Trøndelag Politidistrikt,209,1,Trondheim,2304sk-0,Melding om sammenstøt mellom el-sparkesykkel og bil i rundkjøringa ved Brattøra / Nordre avlastningsvei. Bilfører har forlatt etter påkjørselen. Ambulanse og politi rykker ut. El-sparkesyklisten er tilsynelatende lettere skadd. Politiet søker etter bilen. Bilfører oppfordres til å kontakte politiet jfr plikter ved trafikkuhell. Evt vitner kan ringe 02800. Pasienten er kjørt til akuttmottaket med ambulanse for videre undersøkelser og røntgen.,2023-10-04T05:20:06.186234+00:00
2304zj,Vest Politidistrikt,207,1,Voss,2304zj-0,"kl. 1851: Vi er på stedet etter flere meldinger om vinglete kjøring av personbil. Bilen stanset og fører tatt kontroll på. Det opprettes sak og førerkortet beslaglegges. Ikke mistanke ruskjøring, men uvøren kjøring.  ",2023-07-23T18:02:08.7386796+00:00
2304zl,Agder Politidistrikt,205,1,Kristiansand,2304zl-0,Politi og Statens Vegvesen har avholdt trafikkontroll ved Rige rettet mot tungtransport. 164 kjøretøy kontrollert uten at det ble gitt reaksjoner.,2023-10-09T08:46:37.8768337+00:00
230515,Sør-Øst Politidistrikt,204,5,Tønsberg,230515-0,kl: 23:42 Mann i 30 årene ble pågrepet siktet for kroppskrenkelse. Forholdet har skjedd noe tidligere i kveld. Saken etterforskes. ,2023-05-28T22:24:14.5783413+00:00
23051m,Øst Politidistrikt,202,1,Fredrikstad,23051m-0,"Trafikkulykke mellom to biler på Kråkerøyveien. En bil har kjørt inn i bakenden på en bil som sto stille i veien. To personer involvert, fremstår som uskadd. Nødetatene er på stedet. Bilene er dratt ut av veien og veien er åpnet i begge felt. Ingen personskade og skademelding skrives av involverte parter.",2023-09-16T12:35:03.0322657+00:00
230546,Sør-Øst Politidistrikt,204,1,Færder,230546-0,"Nødetatene rykker ut til en trafikkulykke - enslig bil som har kjørt ut i en sving og snurret rundt. Oppdateres når vi ankommer stedet.  Patruljen har ankommet stedet. Bilen har truffet en lyktestolpe. Ingen personer fremstår skadet. Vi undersøkelser omstendighetene rundt hendelsesforløp noe nærmere nå. Politiet mistenker at den lokale mannen i 20-årene, som ikke innehar gyldig førerkort - kjørte i ruset tilstand. Han blir tatt med inn for bevissikring, og saker opprettet.",2023-08-07T16:18:27.0513563+00:00
23054n,Innlandet Politidistrikt,203,5,Elverum,23054n-0,Kl. 0144: En gjest kom seg inn på Central Scene etter å ha blitt nektet adgang. Mann i 20 årene er bortvist fra stedet frem til kl 0800 lørdag morgen.,2023-10-21T00:09:29.976596+00:00
230563,Agder Politidistrikt,205,1,Arendal,230563-0,"Kl 1150. UP har hatt kontroll på Sørvannsveien. 10 gebyr for manglende bruk av bilbelte er utstedt, 2 bilførere har fått forenklede forelegg for mobilbruk. ",2023-08-11T09:54:44.570335+00:00
23056d,Møre og Romsdal Politidistrikt,208,1,Giske,23056d-0,UP har stanset en MC. Mistanke om kjøring i ruspåvirket tilstand. Tas med for prøvetaking. Sak opprettes.,2023-10-24T17:12:27.7077462+00:00
2305bw,Øst Politidistrikt,202,2,Sarpsborg,2305bw-0,Nødetatene har rykket ut til Korsgata i Sarpsborg. Brann i garasje med spredningsfare.  Det meldes om full fyr i garasje. Brannvesenet har nå kontroll på brannen.,2023-09-14T23:03:31.8408819+00:00
2305d8,Sør-Øst Politidistrikt,204,1,Drammen,2305d8-0,"11:02 - Nødetatene rykker ut etter melding om en bil som har kjørt i autovernet på E134 ved Kiwi. Bilen er ikke kjørbar. Det er ukjent om noen er skadd.  Sjåføren er en mann i 60-årene. Han er uskadd, men blir tilsett av helsepersonell. Det er trafikale problemer på stedet.  Veien er nå åpen. Fører av bilen blir fraktet til sykehus for undersøkelse. Han har ikke gyldig førerkort. Politiet oppretter sak.  ",2023-06-05T09:12:07.7127472+00:00
2305mv,Innlandet Politidistrikt,203,0,Elverum,2305mv-0,Kl. 10:00: melding om innbrudd i kiosken tilknyttet Rolvshallen i Elverum. Stjålet flere kioskvarer. Skjedd en gang  i tidsrommet lørdag kveld og natt til i dag. Patruljen har vært på stedet for åstedsundersøkelse. Sak opprettes. ,2023-09-11T08:50:28.2405034+00:00
2305qv,Agder Politidistrikt,205,1,Kvinesdal,2305qv-0,"Politiet har gjennomført promillekontroll på stedet. 45 kontrollerte, 1 utslag. Vedkommende tas med til legevakt for blodprøve. Anmeldes for ruspåvirket kjøring. Et eventuelt førerkortbeslag vil bli tatt stilling til i ettertid, da det i dette tilfellet dreier seg om lavpromille. Mistenkte er en kvinne i 20 årene.",2023-10-15T08:47:43.8797042+00:00
2305t4,Nordland Politidistrikt,210,2,Fauske,2305t4-0,"Melding om bilbrann ved innkjøringen til Daja Camping. Utrykningsenheter på tur til stedet.
Oppdateres når vi er på stedet. Bilen fullstendig overtent. Brann på stedet har startet slukking. Politiet snakker med vitner og bileier. Politiet oppretter sak.",2023-08-05T16:38:02.7044977+00:00
2305tl,Sør-Øst Politidistrikt,204,3,Sandefjord,2305tl-0,kl 09:49 - Politiet har vært på stedet og gjennomført en en åstedsundersøkelse etter melding om tyveri fra en båtforening. I løpet av natten er det stjålet et girhus fra en båt. Patruljen oppretter sak på forholdet  ,2023-10-19T09:06:44.5434389+00:00
2305ww,Trøndelag Politidistrikt,209,1,Trondheim,2305ww-0,"En isbil har fått stans og blokkerer høyre felt i nordgående retning i Okstadbakken. Vi har varslet Vegtrafikksentralen, som setter ned hastigheten, og har en patrulje på veg til stedet.",2023-08-09T12:13:38.9516601+00:00
2305xb,Øst Politidistrikt,202,2,Skiptvet,2305xb-0,Kl 12.51 mottok politiet mld om brann i et lukket korntørkeanlegg på Skiptvet mølle. Ingen personer skal være skadd. Nødetatene er på stedet. Brann driver med slukking.,2023-09-13T11:34:58.8844502+00:00
2306dq,Øst Politidistrikt,202,1,Hobøl,2306dq-0,"Operasjonsentralen ble oppringt av observant vitne om mulig promillist på Sånerveien. UP patrulje nå kontroll på bilfører etter at vedkommende forsøkte å gjemme seg bort på et tilfeldig gårdstun. Mann i 30 årene fremstår tydelig beruset.  
 Fremstilles bevissikring. Anmeldelse med FK beslag.",2023-09-17T20:24:20.665554+00:00
2306g7,Sør-Øst Politidistrikt,204,1,Ringerike,2306g7-0,"Melding om trafikkulykke - enslig bil som skal ha kjørt i et tre.  Nødetatene har rykket ut. Oppdateres.  Hendelsen skjedde rett utenfor brannstasjonen. Bilen har kjørt i et tre. To personer fremstår skadet. Trafikken går normalt forbi. Patruljen er framme hvert øyeblikk. Begge personene, som forøvrig er i 60-årene og fra Drammen - er kjørt Ringerike sykehus. Skadesituasjonen for dem er pr nå ukjent for politiet. Det er mistanke om at føreren har sovnet bak rattet. Bilen blir tauet vekk og patruljen oppretter sak.",2023-06-17T16:35:33.1950494+00:00
2306hq,Agder Politidistrikt,205,2,Arendal,2306hq-0,Nødetater rykker ut til melding om brann/røykutvikling på institusjon. En person som skal ha fått i seg røyk. Er våken og ute av rommet. Brann skal være slukket. Det har vært en person i leiligheten. Denne er ute og undersøkes av ambulansepersonell. Framstår uskadd. Røykdykkere har søkt gjennom leiligheten. Ingen andre personer i leiligheten. Politiet gjennomfører avhør av aktuell person. Politiet oppretter sak der den som disponerer leilighet anmeldes for uaktsomhet. Mye tyder på at brannen startet i sengen og at det kan ha vært en glo fra sigarett.,2023-10-22T16:43:22.7573081+00:00
2306l0,Agder Politidistrikt,205,7,Lillesand,2306l0-0,"Kl 0045, melding om beruset mann som gikk inn på privat eiendom for å bade i en jacuzzi. Nektet å fjerne seg fra stedet når melder snakket til han. Patrulje har bortvist vedkommende fra Lillesand sentrum til klokken 0800. ",2023-08-12T23:42:42.9633755+00:00
2306nr,Agder Politidistrikt,205,10,Kristiansand,2306nr-0,Kl. 1725. Melding om 4 kyr som går i vegbanen på FV456 ved Holskogkilen. Ber eier se til dyrene sine.  Eier skal ha tatt kontroll på dyrene sine.,2023-08-16T15:31:47.8426547+00:00
2306qx,Agder Politidistrikt,205,1,Agder politidistrikt,2306qx-0,KL 05:15. Det er sleipt og glatt føre på flere veier i Agder. Veifarende må være obs på dette og vise forsiktighet. ,2023-10-20T03:14:54.0602468+00:00
2306rs,Sør-Øst Politidistrikt,204,2,Tønsberg,2306rs-0,Nødetaten er på privatadresse etter melding om røykutvikling. Fremstår som teknisk årsak. Brannvesenet har kontroll på stedet. En person sjekkes av amb for evt røykskader. Person er sjekket ut av helse på stedet. Nødetatene forlater.,2023-09-20T07:58:53.2585506+00:00
2306v1,Sør-Øst Politidistrikt,204,5,Porsgrunn,2306v1-0,"00:50 Fikk vi melding om bålbrenning og festbråk. Da vi var på stedet verken hørte eller så vi noe, men da vi fikk ny melding kl 0320, så fant vi festen. En gjeng som hadde satt opp telt på stedet. De ble formant til å avslutte støyen.",2023-06-24T02:39:16.1602558+00:00
